연월,DSSP행수,완전자료행수,DSSP-완전,비고
2019-09,1,0,1,DSSP초과
2020-01,0,176,-176,DSSP없음
2020-02,0,254,-254,DSSP없음
2020-03,0,244,-244,DSSP없음
2020-04,0,191,-191,DSSP없음
2020-05,0,229,-229,DSSP없음
2020-06,7,391,-384,
2020-07,96,487,-391,
2020-08,95,472,-377,
2020-09,301,361,-60,
2020-10,0,200,-200,DSSP없음
2020-11,0,219,-219,DSSP없음
2020-12,0,195,-195,DSSP없음
2021-01,0,248,-248,DSSP없음
2021-02,0,192,-192,DSSP없음
2021-03,0,291,-291,DSSP없음
2021-04,0,202,-202,DSSP없음
2021-05,0,254,-254,DSSP없음
2021-06,0,504,-504,DSSP없음
2021-07,0,581,-581,DSSP없음
2021-08,0,515,-515,DSSP없음
2021-09,0,296,-296,DSSP없음
2021-10,0,308,-308,DSSP없음
2021-11,0,242,-242,DSSP없음
2021-12,0,220,-220,DSSP없음
2022-01,0,154,-154,DSSP없음
2022-02,0,165,-165,DSSP없음
2022-03,0,361,-361,DSSP없음
2022-04,0,204,-204,DSSP없음
2022-05,0,206,-206,DSSP없음
2022-06,0,457,-457,DSSP없음
2022-07,0,475,-475,DSSP없음
2022-08,0,431,-431,DSSP없음
2022-09,0,421,-421,DSSP없음
2022-10,0,216,-216,DSSP없음
2022-11,0,192,-192,DSSP없음
2022-12,0,221,-221,DSSP없음
2023-01,0,208,-208,DSSP없음
2023-02,0,171,-171,DSSP없음
2023-03,0,220,-220,DSSP없음
2023-04,0,185,-185,DSSP없음
2023-05,0,273,-273,DSSP없음
2023-06,0,556,-556,DSSP없음
2023-07,0,666,-666,DSSP없음
2023-08,0,491,-491,DSSP없음
2023-09,0,304,-304,DSSP없음
2023-10,0,228,-228,DSSP없음
2023-11,0,271,-271,DSSP없음
2023-12,0,243,-243,DSSP없음
2024-01,0,189,-189,DSSP없음
2024-02,0,255,-255,DSSP없음
2024-03,1,281,-280,
2024-04,49,185,-136,
2024-05,440,310,130,DSSP초과
2024-06,1,505,-504,
2024-07,63,711,-648,
2024-08,4,607,-603,
2024-09,1,341,-340,
2024-10,0,287,-287,DSSP없음
2024-11,56,290,-234,
2024-12,0,201,-201,DSSP없음
2025-01,0,195,-195,DSSP없음
2025-02,0,204,-204,DSSP없음
2025-03,17,326,-309,
2025-04,596,236,360,DSSP초과
2025-05,288,311,-23,
2025-06,1,581,-580,
2025-07,0,661,-661,DSSP없음
2025-08,0,560,-560,DSSP없음
2025-09,0,505,-505,DSSP없음
2025-10,0,222,-222,DSSP없음
2025-11,0,223,-223,DSSP없음
2025-12,0,203,-203,DSSP없음
2026-01,1,0,1,DSSP초과
2026-04,7,0,7,DSSP초과
2026-05,1,0,1,DSSP초과
