key,정전건수,정전호수,평균지속h,온열발생,중증률,전력GWh
강원특별자치도 강릉시,206,29777.0,0.8768101419797399,113,2.7,1530.795811
강원특별자치도 고성군,71,2344.0,0.7591324476650564,9,11.1,283.621928
강원특별자치도 동해시,26,11354.0,0.7278418803418804,35,2.9,681.426785
강원특별자치도 삼척시,72,18900.0,0.7077739197530865,25,4.0,565.318102
강원특별자치도 속초시,6,2748.0,0.4981481481481482,32,6.2,466.793683
강원특별자치도 양구군,29,7019.0,0.7080076628352491,21,4.8,146.999802
강원특별자치도 양양군,29,3436.0,0.5211781609195402,15,13.3,260.708317
강원특별자치도 영월군,47,6202.0,0.8723522458628842,16,0.0,800.143299
강원특별자치도 원주시,156,13001.0,0.3657941595441595,58,5.2,1965.373355
강원특별자치도 인제군,99,13129.0,0.4270987654320988,10,10.0,252.293117
강원특별자치도 정선군,36,2978.0,0.6401466049382716,18,5.6,348.970922
강원특별자치도 철원군,105,15066.0,0.5160026455026455,64,3.1,367.770275
강원특별자치도 태백시,44,7720.0,0.5677777777777778,17,0.0,164.171516
강원특별자치도 평창군,45,4288.0,0.4702716049382715,17,0.0,427.125972
강원특별자치도 홍천군,130,23881.0,0.6608846153846154,24,4.2,494.535216
강원특별자치도 화천군,36,3135.0,0.6778317901234568,12,0.0,197.668313
강원특별자치도 횡성군,64,9310.0,0.5313671875,38,2.6,452.789634
경기도 가평군,53,10277.0,0.7766090146750524,58,6.9,569.999065
경기도 고양시,188,25053.0,0.5944385342789598,132,9.8,3495.815914
경기도 광명시,39,5033.0,0.4817948717948718,68,2.9,671.577968
경기도 광주시,142,24949.0,0.8315179968701095,154,3.9,2184.543062
경기도 구리시,84,8923.0,0.3968088624338624,30,3.3,584.230224
경기도 김포시,166,11560.0,0.3734554886211513,51,13.7,3680.455666
경기도 남양주시,120,14684.0,0.2753888888888889,151,6.6,2823.81853
경기도 동두천시,114,11755.0,0.3109454191033138,87,3.4,329.0665
경기도 부천시,114,11542.0,0.5732504873294347,124,5.6,3143.161438
경기도 성남시,206,20227.0,0.3864697950377562,145,6.9,3864.336154
경기도 수원시,107,17745.0,0.3927076843198338,161,6.8,3779.615253
경기도 시흥시,124,10009.0,0.4008109318996415,102,5.9,4139.454209
경기도 안산시,469,33472.0,0.2315114901682065,135,7.4,6627.250571
경기도 안성시,186,10693.0,0.267181899641577,98,1.0,2878.451578
경기도 양평군,92,24050.0,0.530066425120773,34,5.9,603.120489
