지사,구,정전건수,인구,온열,반지하,총가구,옥탑,정전율만명,온열률10만,반지하%,옥탑%
강남지사,강남구,199,543320.4999999999,34,7529.0,226333.0,147.0,3.6626631978730795,6.257816518979131,3.326514472038987,0.0649485492614864
서초지사,서초구,188,412033.0000000001,30,5884.0,158384.0,115.0,4.562741333825202,7.280970213550855,3.7150217193655926,0.07260834427719973
강동송파지사,강동구+송파구,141,1125110.3333333335,107,22226.0,462186.0,1069.0,1.253210425881195,9.51017840916935,4.808886465622066,0.23129216376091014
강서양천지사,강서구+양천구,132,1004522.0,78,19080.0,425080.0,1655.0,1.314057830490522,7.764887180171266,4.488566858003199,0.3893384774630658
관악동작지사,관악구+동작구,128,864779.1666666667,83,42709.0,437763.0,4204.0,1.4801466655745443,9.597826034584937,9.756192277556577,0.960336985994705
구로금천지사,구로구+금천구,113,621499.3333333334,68,11660.0,284064.0,2277.0,1.8181837684996176,10.941282854687964,4.104708798017348,0.8015799256505576
강북성북지사,강북구+성북구,84,719888.9999999998,65,25550.0,315157.0,2239.0,1.1668465555106418,9.029169774784727,8.107070444254768,0.710439558696142
광진성동지사,광진구+성동구,84,618160.0,61,24253.0,281503.0,3396.0,1.3588714895819851,9.867995341012035,8.615538733157372,1.2063814595226339
노원도봉지사,노원구+도봉구,68,812520.0000000002,114,13479.0,335507.0,685.0,0.8369024762467382,14.030423866489436,4.017501870303749,0.20416861645211576
동대문중랑지사,동대문구+중랑구,74,724786.8333333335,110,27318.0,334093.0,3715.0,1.0209898496592444,15.176876143583364,8.176765152218096,1.1119658298737178
마포용산지사,마포구+용산구,123,579784.1666666666,82,12509.0,261458.0,1442.0,2.1214791136356776,14.14319409090452,4.784324824637227,0.5515226154869999
서대문은평지사,서대문구+은평구,87,772545.6666666667,92,20264.0,336895.0,1041.0,1.12614701957209,11.908681126509457,6.014930467949955,0.3089983526024429
