key,인구,고령,온열,온열률10만,온열률고령10만,정전건수,정전율만명,전력GWh,중증률,고령%,반지하,옥탑,반지하%,옥탑%
강원특별자치도 강릉시,210179,50881,113,53.8,222.1,206,9.8,1531.0,2.7,24.20841282906475,323.0,31.0,0.32630547445624175,0.03131724367846283
강원특별자치도 고성군,27071,8680,9,33.2,103.7,71,26.23,284.0,11.1,32.06383214509992,,,,
강원특별자치도 동해시,88788,20495,35,39.4,170.8,26,2.93,681.0,2.9,23.083074289318375,,,,
강원특별자치도 삼척시,62838,17849,25,39.8,140.1,72,11.46,565.0,4.0,28.404786912377862,,,,
강원특별자치도 속초시,81814,18088,32,39.1,176.9,6,0.73,467.0,6.2,22.10868555503948,42.0,16.0,0.11018994647916885,0.0419771224682548
강원특별자치도 양구군,21249,5193,21,98.8,404.4,29,13.65,147.0,4.8,24.438797119864464,,,,
강원특별자치도 양양군,27702,9188,15,54.1,163.3,29,10.47,261.0,13.3,33.167280340769615,13.0,7.0,0.09804660984991326,0.052794328380722524
강원특별자치도 영월군,37400,12506,16,42.8,127.9,47,12.57,800.0,0.0,33.43850267379679,,,,
강원특별자치도 원주시,359966,62966,58,16.1,92.1,156,4.33,1965.0,5.2,17.492207597384198,78.0,127.0,0.04744958481613286,0.0772576573288317
강원특별자치도 인제군,31747,7449,10,31.5,134.2,99,31.18,252.0,10.0,23.463634359152046,8.0,16.0,0.05676577024054495,0.1135315404810899
강원특별자치도 정선군,35012,11181,18,51.4,161.0,36,10.28,349.0,5.6,31.934765223351995,,,,
강원특별자치도 철원군,42036,10942,64,152.2,584.9,105,24.98,368.0,3.1,26.030069464268724,,,,
강원특별자치도 태백시,39452,11293,17,43.1,150.5,44,11.15,164.0,0.0,28.62465781202474,,,,
강원특별자치도 평창군,40758,13259,17,41.7,128.2,45,11.04,427.0,0.0,32.53103685166102,,,,
강원특별자치도 홍천군,67619,20771,24,35.5,115.5,130,19.23,495.0,4.2,30.717697688519497,8.0,8.0,0.025754941729444338,0.025754941729444338
강원특별자치도 화천군,23456,6069,12,51.2,197.7,36,15.35,198.0,0.0,25.87397680763984,,,,
강원특별자치도 횡성군,46263,15700,38,82.1,242.0,64,13.83,453.0,2.6,33.9364070639604,,,,
경기도 가평군,62290,18455,58,93.1,314.3,53,8.51,570.0,6.9,29.627548563172258,47.0,9.0,0.16821158870477076,0.032210729751977384
