reg,date,최고,온열,정전건수,dow,정전,정전_lag1,정전_lag2
강원,2020-05-01,28.978571428571428,0,0.0,4,0,0.0,0.0
강원,2020-05-02,24.842857142857145,0,0.0,5,0,0.0,0.0
강원,2020-05-03,24.807142857142857,0,0.0,6,0,0.0,0.0
강원,2020-05-04,26.907142857142855,0,0.0,0,0,0.0,0.0
강원,2020-05-05,20.50714285714286,0,0.0,1,0,0.0,0.0
강원,2020-05-06,23.27857142857143,0,0.0,2,0,0.0,0.0
강원,2020-05-07,22.47142857142857,0,0.0,3,0,0.0,0.0
강원,2020-05-08,24.49285714285714,0,0.0,4,0,0.0,0.0
강원,2020-05-09,16.271428571428572,0,1.0,5,1,0.0,0.0
강원,2020-05-10,19.407142857142855,0,0.0,6,0,1.0,0.0
강원,2020-05-11,22.95,0,1.0,0,1,0.0,1.0
강원,2020-05-12,19.728571428571428,0,0.0,1,0,1.0,0.0
강원,2020-05-13,23.064285714285713,0,1.0,2,1,0.0,1.0
강원,2020-05-14,26.0,0,0.0,3,0,1.0,0.0
강원,2020-05-15,18.485714285714288,0,0.0,4,0,0.0,1.0
강원,2020-05-16,20.349999999999998,0,0.0,5,0,0.0,0.0
강원,2020-05-17,24.885714285714283,0,0.0,6,0,0.0,0.0
강원,2020-05-18,22.05,0,4.0,0,1,0.0,0.0
강원,2020-05-19,15.192857142857141,0,0.0,1,0,1.0,0.0
강원,2020-05-20,14.671428571428573,0,0.0,2,0,0.0,1.0
강원,2020-05-21,19.178571428571427,0,0.0,3,0,0.0,0.0
강원,2020-05-22,20.114285714285717,0,0.0,4,0,0.0,0.0
강원,2020-05-23,23.22142857142857,0,1.0,5,1,0.0,0.0
강원,2020-05-24,23.014285714285712,0,0.0,6,0,1.0,0.0
강원,2020-05-25,22.557142857142857,0,0.0,0,0,0.0,1.0
강원,2020-05-26,24.042857142857144,0,1.0,1,1,0.0,0.0
강원,2020-05-27,23.678571428571427,0,0.0,2,0,1.0,0.0
강원,2020-05-28,22.957142857142856,0,0.0,3,0,0.0,1.0
강원,2020-05-29,25.157142857142855,1,0.0,4,0,0.0,0.0
강원,2020-05-30,27.207142857142856,0,0.0,5,0,0.0,0.0
강원,2020-05-31,26.014285714285712,0,0.0,6,0,0.0,0.0
강원,2020-06-01,25.607142857142858,1,1.0,0,1,0.0,0.0
강원,2020-06-02,23.7,0,0.0,1,0,1.0,0.0
강원,2020-06-03,27.985714285714288,1,0.0,2,0,0.0,1.0
강원,2020-06-04,29.471428571428568,0,0.0,3,0,0.0,0.0
강원,2020-06-05,27.599999999999998,0,1.0,4,1,0.0,0.0
강원,2020-06-06,26.900000000000002,0,0.0,5,0,1.0,0.0
강원,2020-06-07,27.835714285714285,1,1.0,6,1,0.0,1.0
강원,2020-06-08,31.099999999999998,3,1.0,0,1,1.0,0.0
강원,2020-06-09,33.41428571428572,1,0.0,1,0,1.0,1.0
강원,2020-06-10,31.564285714285713,0,2.0,2,1,0.0,1.0
강원,2020-06-11,30.49285714285714,1,0.0,3,0,1.0,0.0
강원,2020-06-12,26.657142857142855,0,1.0,4,1,0.0,1.0
강원,2020-06-13,31.571428571428573,3,0.0,5,0,1.0,0.0
강원,2020-06-14,29.764285714285712,1,1.0,6,1,0.0,1.0
강원,2020-06-15,29.664285714285715,1,1.0,0,1,1.0,0.0
강원,2020-06-16,28.50714285714286,0,3.0,1,1,1.0,1.0
