key,건축중위,노후91,노후99,단가중위,n,노후고가
강원특별자치도 강릉시,2000.0,13.4,48.2,300.1,4175,1.3
강원특별자치도 고성군,2014.0,6.5,28.9,241.0,370,0.9
강원특별자치도 동해시,1999.0,17.5,53.5,179.7,2098,1.0
강원특별자치도 삼척시,2002.0,8.7,46.7,156.7,1246,0.7
강원특별자치도 속초시,2001.0,9.1,46.2,280.1,2358,1.1
강원특별자치도 양구군,1998.0,0.0,53.8,210.3,106,0.3
강원특별자치도 양양군,2005.0,0.2,24.8,289.1,472,0.6
강원특별자치도 영월군,1998.0,18.2,64.2,170.1,450,1.0
강원특별자치도 원주시,2006.0,6.2,28.7,270.3,11375,0.9
강원특별자치도 인제군,2003.0,4.4,16.2,176.6,204,0.5
강원특별자치도 정선군,1992.0,45.7,65.3,112.5,473,1.0
강원특별자치도 철원군,1998.0,1.0,58.1,135.2,210,0.2
강원특별자치도 춘천시,2005.0,9.7,40.4,308.4,7637,1.1
강원특별자치도 태백시,2001.0,23.4,30.6,126.4,974,1.0
강원특별자치도 평창군,2000.0,1.7,48.6,160.4,880,0.3
강원특별자치도 홍천군,2001.0,2.8,24.4,235.1,763,0.6
강원특별자치도 횡성군,2001.0,5.7,40.8,198.1,542,0.7
경기도 가평군,2012.0,4.3,23.6,287.1,556,0.8
경기도 고양시,2000.0,1.5,48.9,589.1,18498,0.9
경기도 과천시,2018.0,19.0,19.3,2310.2,1652,1.9
경기도 광명시,2005.0,30.3,40.5,1015.3,7413,1.9
경기도 광주시,2011.0,0.0,5.7,509.9,4993,0.7
경기도 구리시,2001.0,3.3,43.8,898.3,4130,1.2
경기도 군포시,1995.0,4.1,67.3,653.1,5623,1.1
경기도 김포시,2014.0,0.3,10.5,545.6,10303,0.8
경기도 남양주시,2009.0,2.9,21.9,547.1,13765,1.0
경기도 동두천시,2004.0,5.9,24.2,248.8,1751,0.8
경기도 부천시,2002.0,10.9,43.9,688.3,11708,1.5
경기도 성남시,1996.0,5.1,51.6,1471.3,17747,1.4
경기도 수원시,2005.0,7.0,35.7,698.8,27222,1.4
경기도 시흥시,2005.0,2.8,41.2,518.4,11344,1.0
경기도 안산시,2002.0,19.0,35.8,566.8,8724,1.6
경기도 안성시,2004.0,2.9,19.4,254.4,4666,0.7
경기도 안양시,2002.0,4.1,41.1,958.0,14274,1.2
경기도 양주시,2011.0,0.9,8.5,375.6,5509,0.7
경기도 양평군,2017.0,0.4,11.5,436.8,1031,0.8
경기도 여주시,2003.0,2.8,26.5,247.2,1776,0.6
경기도 연천군,2006.0,4.0,33.0,209.7,327,0.6
경기도 오산시,2009.0,2.1,17.6,420.7,5726,0.9
경기도 용인시,2004.0,0.5,19.1,737.1,28107,1.0
경기도 의왕시,2009.0,5.9,21.2,895.0,3617,1.4
경기도 의정부시,2003.0,1.9,34.7,451.2,9323,0.9
경기도 이천시,2002.0,4.9,38.0,304.0,2886,0.9
경기도 파주시,2010.0,1.9,7.6,424.8,8525,0.8
경기도 평택시,2016.0,2.1,20.1,400.1,12612,0.8
경기도 포천시,2005.0,2.6,33.5,254.5,1586,0.6
경기도 하남시,2016.0,0.2,11.0,1200.1,8083,1.0
경기도 화성시,2015.0,0.2,3.4,700.3,22679,0.9
경상남도 거제시,2008.0,4.1,22.5,178.7,4412,0.5
경상남도 거창군,2011.0,10.3,27.4,235.7,809,1.0
경상남도 고성군,2006.0,14.1,39.6,153.2,389,0.9
경상남도 김해시,2005.0,2.6,20.3,259.5,13331,0.6
경상남도 남해군,2000.0,5.6,47.6,167.1,124,0.6
경상남도 밀양시,2005.0,13.2,46.0,200.6,1614,1.0
경상남도 사천시,2007.0,4.9,25.4,203.6,2654,0.6
경상남도 산청군,2009.0,6.9,35.4,226.1,130,0.9
경상남도 양산시,2013.0,2.3,22.8,331.8,9216,0.8
경상남도 진주시,2009.0,8.1,31.9,339.2,9418,1.1
경상남도 창녕군,2010.0,9.9,19.3,178.9,524,0.8
경상남도 창원시,2004.0,13.7,40.2,348.4,21989,1.4
경상남도 통영시,2004.0,14.3,32.2,231.9,2037,1.1
경상남도 하동군,2002.0,14.6,23.8,134.1,185,0.9
경상남도 함안군,2003.0,11.3,28.9,161.5,887,0.8
경상남도 함양군,2003.0,5.7,49.1,234.2,228,0.8
경상남도 합천군,2001.0,8.1,43.9,182.2,123,0.7
경상북도 경산시,2009.0,3.8,33.3,266.9,5883,0.7
경상북도 경주시,2004.0,6.4,46.6,217.3,4513,0.8
경상북도 고령군,1997.0,12.4,56.8,155.1,185,0.8
경상북도 구미시,2008.0,5.7,30.7,239.5,10981,0.8
경상북도 김천시,2004.0,8.9,38.5,212.8,2953,0.9
경상북도 문경시,2004.0,10.9,40.5,235.3,645,1.0
경상북도 상주시,1998.0,15.5,54.3,216.1,961,1.1
경상북도 성주군,2007.0,6.1,31.3,240.2,131,0.8
경상북도 안동시,1999.0,17.3,50.3,211.2,2991,1.1
경상북도 영덕군,2011.0,9.8,32.9,201.6,143,0.9
경상북도 영주시,1998.0,14.6,55.1,192.4,1357,1.0
경상북도 영천시,2014.0,10.3,41.1,143.2,1906,0.7
