시군구,온열질환_절대건수,비중%,순위
제주특별자치도 제주시,406,2.71,1
경기도 평택시,258,1.72,2
경상남도 거제시,253,1.69,3
경기도 화성시,237,1.58,4
경기도 파주시,222,1.48,5
전라남도 여수시,218,1.45,6
경상북도 구미시,213,1.42,7
인천광역시 서구,208,1.39,8
전라남도 광양시,207,1.38,9
경상남도 김해시,205,1.37,10
경상북도 포항시 남구,184,1.23,11
전라남도 순천시,157,1.05,12
경기도 광주시,154,1.03,13
경기도 남양주시,151,1.01,14
제주특별자치도 서귀포시,146,0.97,15
충청남도 당진시,144,0.96,16
전라북도 군산시,141,0.94,17
경상남도 진주시,141,0.94,18
경기도 이천시,134,0.89,19
울산광역시 동구,132,0.88,20
세종특별자치시 세종특별자치시,131,0.87,21
경기도 포천시,131,0.87,22
경기도 의정부시,130,0.87,23
전라북도 익산시,129,0.86,24
경상북도 안동시,127,0.85,25
울산광역시 울주군,126,0.84,26
경기도 부천시,124,0.83,27
전라남도 목포시,121,0.81,28
충청남도 아산시,118,0.79,29
경기도 양주시,116,0.77,30
충청남도 예산군,114,0.76,31
강원특별자치도 강릉시,113,0.75,32
광주광역시 광산구,111,0.74,33
충청북도 청주시 흥덕구,110,0.73,34
경상북도 포항시 북구,109,0.73,35
전라북도 전주시 덕진구,107,0.71,36
울산광역시 남구,106,0.71,37
경기도 용인시 처인구,102,0.68,38
경기도 시흥시,102,0.68,39
인천광역시 미추홀구,101,0.67,40
경기도 고양시 덕양구,101,0.67,41
경기도 안성시,98,0.65,42
인천광역시 남동구,98,0.65,43
경상북도 경주시,98,0.65,44
충청북도 청주시 상당구,93,0.62,45
충청남도 서산시,92,0.61,46
서울특별시 영등포구,88,0.59,47
경기도 동두천시,87,0.58,48
인천광역시 중구,86,0.57,49
대구광역시 달서구,85,0.57,50
전라북도 전주시 완산구,84,0.56,51
경기도 안산시 단원구,83,0.55,52
전라북도 정읍시,83,0.55,53
인천광역시 계양구,83,0.55,54
전라남도 해남군,80,0.53,55
강원특별자치도 춘천시,79,0.53,56
서울특별시 은평구,77,0.51,57
전라북도 완주군,76,0.51,58
경상북도 김천시,76,0.51,59
경상남도 창원시 마산합포구,75,0.5,60
경상남도 양산시,75,0.5,61
충청북도 제천시,74,0.49,62
광주광역시 북구,70,0.47,63
인천광역시 부평구,69,0.46,64
경상북도 문경시,69,0.46,65
서울특별시 송파구,69,0.46,66
경기도 광명시,68,0.45,67
경기도 여주시,68,0.45,68
경상남도 창원시 진해구,68,0.45,69
경상북도 예천군,66,0.44,70
충청남도 천안시 서북구,66,0.44,71
대전광역시 유성구,66,0.44,72
경기도 성남시 수정구,65,0.43,73
충청남도 천안시 동남구,65,0.43,74
충청북도 진천군,64,0.43,75
강원특별자치도 철원군,64,0.43,76
대전광역시 서구,63,0.42,77
서울특별시 도봉구,63,0.42,78
전라남도 무안군,63,0.42,79
경상남도 밀양시,62,0.41,80
부산광역시 기장군,61,0.41,81
서울특별시 관악구,61,0.41,82
광주광역시 서구,61,0.41,83
경상북도 울진군,61,0.41,84
