key,산단수,총지정면적_천m2,노후수,총면적km2,근사반경km
강원특별자치도 강릉시,6,2817.0,3,2.8,0.95
강원특별자치도 고성군,3,264.0,1,0.3,0.29
강원특별자치도 동해시,5,9472.0,0,9.5,1.74
강원특별자치도 삼척시,6,3955.0,2,4.0,1.12
강원특별자치도 속초시,3,446.0,1,0.4,0.38
강원특별자치도 양구군,2,203.0,0,0.2,0.25
강원특별자치도 양양군,3,326.0,1,0.3,0.32
강원특별자치도 영월군,3,513.0,2,0.5,0.4
강원특별자치도 원주시,12,3924.0,6,3.9,1.12
강원특별자치도 인제군,2,198.0,0,0.2,0.25
강원특별자치도 정선군,3,325.0,2,0.3,0.32
강원특별자치도 철원군,4,750.0,2,0.8,0.49
강원특별자치도 춘천시,16,4299.0,5,4.3,1.17
강원특별자치도 태백시,4,680.0,2,0.7,0.47
강원특별자치도 평창군,2,168.0,1,0.2,0.23
강원특별자치도 홍천군,6,1110.0,3,1.1,0.59
강원특별자치도 화천군,1,112.0,1,0.1,0.19
강원특별자치도 횡성군,6,1947.0,3,1.9,0.79
경기도 가평군,1,60.0,1,0.1,0.14
경기도 고양시,1,100.0,0,0.1,0.18
경기도 광명시,1,493.0,0,0.5,0.4
경기도 군포시,1,288.0,0,0.3,0.3
경기도 김포시,16,7593.0,3,7.6,1.55
경기도 남양주시,3,481.0,0,0.5,0.39
경기도 동두천시,4,765.0,3,0.8,0.49
경기도 부천시,3,851.0,0,0.9,0.52
경기도 성남시,2,1877.0,1,1.9,0.77
경기도 수원시,3,1257.0,1,1.3,0.63
경기도 시흥시,4,81108.0,0,81.1,5.08
경기도 안산시,6,166801.0,1,166.8,7.29
경기도 안성시,33,6739.0,15,6.7,1.46
경기도 안양시,1,255.0,0,0.3,0.28
경기도 양주시,11,2740.0,4,2.7,0.93
경기도 여주시,5,301.0,1,0.3,0.31
경기도 연천군,5,1410.0,0,1.4,0.67
경기도 오산시,4,1363.0,1,1.4,0.66
경기도 용인시,21,13870.0,0,13.9,2.1
경기도 의왕시,1,158.0,0,0.2,0.22
경기도 의정부시,1,346.0,1,0.3,0.33
경기도 이천시,12,628.0,0,0.6,0.45
경기도 파주시,20,9864.0,11,9.9,1.77
