연도,key,산업용,산업용여름,주택용,주택용여름,일반용,일반용여름,제조업,제조업여름,인구,온열,여름온열,여름온열률10만
2020,강원특별자치도 강릉시,767.6,193.1,321.6,78.3,588.9,150.8,673.9,168.9,213321.0,8,8,3.750216809409294
2020,강원특별자치도 고성군,50.4,12.8,39.0,9.2,145.5,36.3,30.2,7.6,26757.0,1,1,3.737339761557723
2020,강원특별자치도 동해시,1771.1,438.5,133.9,32.4,212.1,52.0,1691.8,418.9,90593.0,4,4,4.415352179528219
2020,강원특별자치도 삼척시,1093.1,246.2,95.5,22.9,163.5,41.7,857.5,198.8,65243.0,3,3,4.59819444231565
2020,강원특별자치도 속초시,63.4,16.1,129.6,31.6,264.5,68.0,42.8,10.6,82665.0,0,0,0.0
2020,강원특별자치도 양구군,19.3,4.5,29.3,7.0,81.8,18.8,6.9,1.6,22278.0,3,2,8.977466558937069
2020,강원특별자치도 양양군,46.2,11.9,44.9,10.9,136.7,33.6,30.3,7.8,27946.0,1,1,3.5783296357260435
2020,강원특별자치도 영월군,842.7,188.1,54.3,12.9,87.5,20.7,790.1,174.9,38662.0,0,0,0.0
2020,강원특별자치도 원주시,755.1,178.5,549.4,133.6,793.5,200.9,656.0,153.6,354376.0,7,7,1.9753030679278507
2020,강원특별자치도 인제군,39.1,9.6,44.2,10.4,145.9,34.0,14.0,3.6,31694.0,1,1,3.1551713258029914
2020,강원특별자치도 정선군,240.2,46.6,53.9,12.6,181.6,39.4,217.4,41.1,36870.0,3,3,8.136696501220504
2020,강원특별자치도 철원군,58.4,14.1,57.4,13.7,157.3,36.8,34.1,8.1,44699.0,8,8,17.897492113917536
2020,강원특별자치도 춘천시,235.4,62.4,426.0,106.4,811.4,210.2,135.0,37.2,282765.0,4,3,1.0609516736512652
2020,강원특별자치도 태백시,104.7,25.2,60.5,13.9,94.0,20.9,25.9,6.0,42719.0,1,1,2.3408787658887147
2020,강원특별자치도 평창군,88.4,21.8,68.0,16.0,239.0,50.9,42.4,10.7,41681.0,3,3,7.197524051726206
2020,강원특별자치도 홍천군,129.4,34.7,97.3,23.7,248.2,62.5,100.6,27.6,69242.0,1,1,1.444210161462696
2020,강원특별자치도 화천군,23.2,5.3,31.8,7.7,119.7,27.4,5.7,1.3,24857.0,2,2,8.046023253007201
2020,강원특별자치도 횡성군,227.6,59.4,66.4,15.9,123.7,29.1,187.4,49.4,46472.0,0,0,0.0
2020,경기도 가평군,89.5,21.3,87.9,21.6,337.4,79.1,50.1,11.7,62377.0,1,1,1.603155009057826
2020,경기도 고양시,725.8,175.5,1520.4,394.3,2000.1,506.6,333.8,75.3,1079216.0,2,1,0.09265985678492535
2020,경기도 과천시,44.0,11.6,85.5,22.2,200.0,50.5,1.9,0.5,63231.0,1,1,1.5815027439072606
2020,경기도 광명시,248.2,60.3,375.9,96.6,394.6,102.7,206.0,49.6,298599.0,3,3,1.0046919112254227
