scene,date,path,row,지점,LST_30m,LST_100m,LST_500m,LST_1000m,지점명,Tavg,Tmax,Tmin,net,scene_id
LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,114,034,130,,,,36.774542134219054,울진,25.5,30.0,22.4,ASOS,LC08_L2SP_114034_20200820_20200905_02_T1
LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,114,034,272,36.934446560000005,37.24929503085716,37.75639227670106,37.32654130432295,영주,26.0,32.8,20.2,ASOS,LC08_L2SP_114034_20200820_20200905_02_T1
LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,114,034,216,43.74428174,43.558081031428586,41.82592290907218,38.3784283971486,태백,23.3,31.7,17.0,ASOS,LC08_L2SP_114034_20200820_20200905_02_T1
LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,114,034,271,37.30587140000002,37.071362675428595,35.848671201030946,34.886660295484496,봉화,25.0,31.6,18.9,ASOS,LC08_L2SP_114034_20200820_20200905_02_T1
LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,114,034,106,38.25152360000002,38.740723643428595,40.527024410721666,40.128425933596546,동해,24.1,26.9,21.6,ASOS,LC08_L2SP_114034_20200820_20200905_02_T1
LC08_L2SP_114034_20200820_20200905_02_T1,2020-08-20,114,034,217,40.37183534000002,39.69864816285717,36.08597463657145,33.72400356373283,정선군,26.1,33.0,20.9,ASOS,LC08_L2SP_114034_20200820_20200905_02_T1
LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,114,034,272,33.86278592000002,34.13645538800003,34.78929642494847,34.21856497649587,영주,21.8,29.1,14.0,ASOS,LC08_L2SP_114034_20210620_20210629_02_T1
LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,114,034,216,40.64299826000001,40.4798122194286,38.175504955876306,34.577361180143164,태백,20.1,27.8,11.4,ASOS,LC08_L2SP_114034_20210620_20210629_02_T1
LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,114,034,106,32.91599438000003,32.72373889314289,34.04686162314723,34.070428966510484,동해,21.1,25.9,18.0,ASOS,LC08_L2SP_114034_20210620_20210629_02_T1
LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,114,034,217,38.97842252000002,38.48066115028573,33.384810802736865,30.857578410192854,정선군,21.7,29.2,12.7,ASOS,LC08_L2SP_114034_20210620_20210629_02_T1
LC08_L2SP_114034_20210620_20210629_02_T1,2021-06-20,114,034,271,37.49158382000004,37.85330799371432,34.50477856082477,32.518952819061,봉화,18.8,26.7,11.1,ASOS,LC08_L2SP_114034_20210620_20210629_02_T1
LC08_L2SP_114034_20210807_20210811_02_T1,2021-08-07,114,034,272,40.09041836000002,40.69016693600002,41.67056533070969,41.329464911338924,영주,27.0,33.0,22.0,ASOS,LC08_L2SP_114034_20210807_20210811_02_T1
LC08_L2SP_114034_20210807_20210811_02_T1,2021-08-07,114,034,216,39.871665080000035,39.57891980514288,37.9195235650333,35.85685514132354,태백,23.4,29.5,19.9,ASOS,LC08_L2SP_114034_20210807_20210811_02_T1
LC08_L2SP_114034_20210807_20210811_02_T1,2021-08-07,114,034,217,,,,33.75355140783731,정선군,25.8,33.7,21.2,ASOS,LC08_L2SP_114034_20210807_20210811_02_T1
LC08_L2SP_114034_20210807_20210811_02_T1,2021-08-07,114,034,271,39.72582956000002,39.6005998177143,39.00511674721651,37.98789147929003,봉화,24.3,30.9,19.4,ASOS,LC08_L2SP_114034_20210807_20210811_02_T1
LC08_L2SP_114034_20220826_20220927_02_T1,2022-08-26,114,034,272,31.44054908000002,31.98241918400002,33.01012109113404,32.61460943088464,영주,22.8,28.1,16.4,ASOS,LC08_L2SP_114034_20220826_20220927_02_T1
LC08_L2SP_114034_20220826_20220927_02_T1,2022-08-26,114,034,216,,,37.023559224285734,30.615052113511275,태백,19.5,24.8,13.3,ASOS,LC08_L2SP_114034_20220826_20220927_02_T1
LC08_L2SP_114034_20220826_20220927_02_T1,2022-08-26,114,034,106,32.52178274000003,32.81885750685717,35.37590382989693,35.1151120188581,동해,23.4,27.3,19.7,ASOS,LC08_L2SP_114034_20220826_20220927_02_T1
LC08_L2SP_114034_20220826_20220927_02_T1,2022-08-26,114,034,271,31.274205440000003,31.413270025142868,30.579615226804144,29.392569284185534,봉화,20.3,26.5,14.9,ASOS,LC08_L2SP_114034_20220826_20220927_02_T1
