부지,형상,날짜,위성,tier,구름pct,KST,기준선C,기준n,ΔR0내부,Δ0-1km,유효0-1km,Δ1-2km,유효1-2km,Δ2-3km,유효2-3km,Δ3-5km,유효3-5km,Δ5-10km,유효5-10km
광양·제철,폴리곤,2020-06-08,LC08,T1,7.13,11시,32.2,846190,11.45,7.37,0.22,5.22,0.28,4.6,0.44,2.6,0.48,0.72,0.62
광양·제철,폴리곤,2021-07-29,LC08,T1,19.83,11시,36.5,49454,,,0.0,3.95,0.01,5.81,0.05,0.21,0.09,-1.43,0.06
광양·제철,폴리곤,2023-08-20,LC08,T1,11.32,11시,38.4,106506,4.41,0.06,0.0,8.94,0.02,-1.93,0.11,-0.3,0.13,0.05,0.1
광양·제철,폴리곤,2024-06-03,LC08,T1,18.8,11시,31.7,160717,6.8,4.21,0.12,2.85,0.14,3.46,0.19,2.09,0.13,0.8,0.07
광양·제철,폴리곤,2024-08-06,LC08,T1,16.98,11시,39.8,77370,,,0.0,0.51,0.01,5.84,0.04,9.83,0.03,2.27,0.06
광양·제철,폴리곤,2025-07-24,LC08,T1,2.37,11시,34.7,881033,11.55,6.42,0.37,4.82,0.35,4.36,0.46,2.71,0.48,0.95,0.63
광양·제철,폴리곤,2025-08-25,LC08,T1,19.42,11시,36.8,62762,11.02,10.75,0.03,,0.0,,0.0,10.71,0.0,-0.96,0.03
광양·제철,폴리곤,2023-07-27,LC09,T1,16.31,11시,36.4,39566,5.05,4.5,0.04,9.21,0.03,10.18,0.03,-0.63,0.01,2.61,0.01
광양·제철,폴리곤,2024-07-29,LC09,T1,20.27,11시,35.8,177614,6.17,5.83,0.01,4.39,0.01,5.26,0.16,0.83,0.25,0.49,0.17
광양·제철,폴리곤,2024-08-14,LC09,T1,17.14,11시,36.7,737690,13.87,9.5,0.27,7.29,0.26,7.52,0.4,3.76,0.42,1.73,0.6
광양·제철,폴리곤,2024-08-30,LC09,T1,7.84,11시,37.4,689056,14.88,8.42,0.34,6.11,0.41,5.91,0.49,3.95,0.48,1.2,0.53
광양·제철,폴리곤,2025-08-01,LC09,T1,3.83,11시,36.1,878025,13.95,7.95,0.34,4.99,0.37,5.28,0.48,2.92,0.52,0.9,0.65
광양·제철,폴리곤,2025-08-17,LC09,T1,16.6,11시,33.5,888879,13.18,7.31,0.42,5.26,0.44,4.99,0.56,3.0,0.61,1.11,0.69
여수·석화,점,2020-06-08,LC08,T1,7.13,11시,33.6,452097,,6.82,0.98,6.99,0.66,1.73,0.53,0.09,0.7,0.04,0.63
여수·석화,점,2021-07-29,LC08,T1,19.83,11시,34.4,74933,,,0.0,,0.0,,0.0,9.13,0.05,4.38,0.12
여수·석화,점,2023-08-20,LC08,T1,11.32,11시,38.1,104992,,,0.0,,0.0,7.09,0.1,2.89,0.09,3.88,0.06
여수·석화,점,2024-06-03,LC08,T1,18.8,11시,32.3,126799,,,0.0,,0.0,1.72,0.03,1.52,0.05,1.04,0.15
여수·석화,점,2024-08-06,LC08,T1,16.98,11시,39.0,115940,,,0.0,,0.0,,0.0,4.63,0.0,7.94,0.06
여수·석화,점,2025-07-24,LC08,T1,2.37,11시,35.8,511414,,7.98,0.99,7.44,0.84,2.99,0.7,0.44,0.76,1.04,0.72
여수·석화,점,2025-08-25,LC08,T1,19.42,11시,38.0,48469,,,0.0,,0.0,,0.0,,0.0,0.48,0.01
여수·석화,점,2023-07-27,LC09,T1,16.31,11시,37.5,26738,,,0.0,,0.0,,0.0,-0.07,0.05,2.62,0.04
여수·석화,점,2024-07-29,LC09,T1,20.27,11시,34.6,124832,,8.05,0.38,6.59,0.12,6.59,0.02,4.5,0.02,2.64,0.14
여수·석화,점,2024-08-14,LC09,T1,17.14,11시,38.5,460258,,9.12,0.16,10.07,0.43,2.99,0.39,2.92,0.35,2.14,0.43
여수·석화,점,2024-08-30,LC09,T1,7.84,11시,38.8,442746,,9.16,0.77,8.98,0.63,2.99,0.59,1.44,0.57,1.02,0.58
여수·석화,점,2025-08-01,LC09,T1,3.83,11시,37.5,491587,,9.13,0.8,8.9,0.68,2.6,0.68,-0.2,0.72,0.57,0.63
여수·석화,점,2025-08-17,LC09,T1,16.6,11시,34.7,541468,,9.48,0.69,8.48,0.61,4.72,0.52,1.45,0.69,1.45,0.67
울산미포,폴리곤,2020-08-20,LC08,T1,0.32,10시,33.5,662766,13.4,6.85,0.54,5.18,0.54,4.63,0.5,4.91,0.51,2.24,0.5
울산미포,폴리곤,2021-08-07,LC08,T1,19.4,10시,33.9,23579,13.65,6.44,0.3,3.92,0.38,4.6,0.24,4.92,0.27,2.13,0.11
울산미포,폴리곤,2022-08-26,LC08,T1,8.56,10시,29.1,662272,13.59,7.27,0.56,5.16,0.55,4.44,0.5,4.57,0.51,1.91,0.5
울산미포,폴리곤,2024-06-12,LC08,T1,14.97,10시,32.0,593612,11.26,5.14,0.38,3.89,0.48,3.68,0.45,4.06,0.49,1.84,0.44
울산미포,폴리곤,2024-06-28,LC08,T1,20.42,10시,31.1,339418,11.49,5.27,0.13,5.13,0.09,6.06,0.09,4.18,0.19,2.33,0.16
울산미포,폴리곤,2024-08-31,LC08,T1,4.52,10시,31.5,502319,12.73,6.69,0.5,4.84,0.5,4.55,0.46,4.49,0.44,1.88,0.41
울산미포,폴리곤,2025-08-02,LC08,T1,12.62,10시,35.1,555742,11.27,5.35,0.47,3.81,0.5,3.47,0.46,4.14,0.47,1.79,0.43
울산미포,폴리곤,2022-07-01,LC09,T1,9.19,10시,34.3,604627,11.32,5.24,0.46,4.07,0.5,4.37,0.48,4.76,0.46,1.93,0.47
울산미포,폴리곤,2023-06-02,LC09,T1,19.19,10시,28.8,613648,10.66,5.19,0.41,3.43,0.47,2.93,0.48,3.0,0.45,1.64,0.48
울산미포,폴리곤,2023-08-05,LC09,T1,8.9,10시,36.2,111240,9.39,1.77,0.12,1.25,0.14,7.24,0.06,3.13,0.03,-0.53,0.03
울산미포,폴리곤,2023-08-21,LC09,T1,17.53,10시,33.8,35674,10.07,3.85,0.14,6.09,0.05,7.84,0.04,3.62,0.06,3.31,0.02
울산미포,폴리곤,2024-08-07,LC09,T1,13.71,10시,36.7,223733,10.82,3.12,0.1,-0.71,0.09,-4.3,0.01,7.54,0.06,2.97,0.08
울산미포,폴리곤,2024-08-23,LC09,T1,9.73,10시,33.2,407193,13.86,6.39,0.29,3.39,0.21,2.25,0.15,4.46,0.25,2.08,0.28
울산미포,폴리곤,2025-06-23,LC09,T1,5.28,10시,30.4,587682,12.6,5.99,0.48,4.1,0.53,3.77,0.5,3.83,0.5,1.66,0.47
울산미포,폴리곤,2025-07-09,LC09,T1,13.42,10시,32.0,338998,13.5,9.06,0.08,7.53,0.13,5.4,0.13,5.9,0.02,2.14,0.1
