연도,key,산업용,산업용여름,주택용,주택용여름,일반용,일반용여름,제조업,제조업여름,인구,온열,여름온열,여름온열률10만,가구수,다자녀,소년소녀가정,한부모가정,질환자,임산부,영유아,장애인,노인,발급률_인구천명,노인비중
2020,강원특별자치도 강릉시,767.6,193.1,321.6,78.3,588.9,150.8,673.9,168.9,213321.0,8,8,3.750216809409294,3680.0,0.0,67.0,164.0,482.0,3.0,54.0,1602.0,1308.0,17.250997323282753,35.54347826086956
2020,강원특별자치도 고성군,50.4,12.8,39.0,9.2,145.5,36.3,30.2,7.6,26757.0,1,1,3.737339761557723,523.0,0.0,8.0,10.0,75.0,0.0,2.0,233.0,195.0,19.54628695294689,37.2848948374761
2020,강원특별자치도 동해시,1771.1,438.5,133.9,32.4,212.1,52.0,1691.8,418.9,90593.0,4,4,4.415352179528219,1526.0,0.0,15.0,58.0,199.0,1.0,21.0,685.0,547.0,16.844568564900158,35.84534731323722
2020,강원특별자치도 삼척시,1093.1,246.2,95.5,22.9,163.5,41.7,857.5,198.8,65243.0,3,3,4.59819444231565,1445.0,0.0,35.0,86.0,167.0,2.0,15.0,652.0,488.0,22.147969897153718,33.77162629757785
2020,강원특별자치도 속초시,63.4,16.1,129.6,31.6,264.5,68.0,42.8,10.6,82665.0,0,0,0.0,1846.0,0.0,22.0,116.0,259.0,1.0,16.0,713.0,719.0,22.3310953849876,38.94907908992416
2020,강원특별자치도 양구군,19.3,4.5,29.3,7.0,81.8,18.8,6.9,1.6,22278.0,3,2,8.977466558937069,389.0,0.0,17.0,9.0,44.0,1.0,4.0,149.0,165.0,17.461172457132598,42.41645244215938
2020,강원특별자치도 양양군,46.2,11.9,44.9,10.9,136.7,33.6,30.3,7.8,27946.0,1,1,3.5783296357260435,605.0,0.0,9.0,24.0,77.0,0.0,5.0,224.0,266.0,21.64889429614256,43.96694214876033
2020,강원특별자치도 영월군,842.7,188.1,54.3,12.9,87.5,20.7,790.1,174.9,38662.0,0,0,0.0,457.0,0.0,17.0,15.0,49.0,0.0,5.0,195.0,176.0,11.820392116289897,38.51203501094092
2020,강원특별자치도 원주시,755.1,178.5,549.4,133.6,793.5,200.9,656.0,153.6,354376.0,7,7,1.9753030679278507,4914.0,0.0,71.0,477.0,698.0,1.0,60.0,1942.0,1665.0,13.86662753685351,33.88278388278388
2020,강원특별자치도 인제군,39.1,9.6,44.2,10.4,145.9,34.0,14.0,3.6,31694.0,1,1,3.1551713258029914,379.0,0.0,12.0,8.0,52.0,0.0,4.0,147.0,156.0,11.958099324793336,41.16094986807388
2020,강원특별자치도 정선군,240.2,46.6,53.9,12.6,181.6,39.4,217.4,41.1,36870.0,3,3,8.136696501220504,446.0,0.0,10.0,15.0,45.0,0.0,5.0,215.0,156.0,12.096555465147816,34.97757847533632
2020,강원특별자치도 철원군,58.4,14.1,57.4,13.7,157.3,36.8,34.1,8.1,44699.0,8,8,17.897492113917536,626.0,0.0,16.0,17.0,84.0,0.0,2.0,261.0,246.0,14.004787579140473,39.29712460063898
2020,강원특별자치도 춘천시,235.4,62.4,426.0,106.4,811.4,210.2,135.0,37.2,282765.0,4,3,1.0609516736512652,4813.0,0.0,114.0,367.0,661.0,2.0,74.0,1898.0,1697.0,17.02120135094513,35.258674423436524
2020,강원특별자치도 태백시,104.7,25.2,60.5,13.9,94.0,20.9,25.9,6.0,42719.0,1,1,2.3408787658887147,720.0,0.0,28.0,14.0,90.0,1.0,17.0,317.0,253.0,16.854327114398746,35.138888888888886
2020,강원특별자치도 평창군,88.4,21.8,68.0,16.0,239.0,50.9,42.4,10.7,41681.0,3,3,7.197524051726206,524.0,0.0,9.0,24.0,53.0,0.0,3.0,217.0,218.0,12.571675343681774,41.603053435114504
2020,강원특별자치도 홍천군,129.4,34.7,97.3,23.7,248.2,62.5,100.6,27.6,69242.0,1,1,1.444210161462696,794.0,0.0,14.0,17.0,104.0,1.0,11.0,345.0,302.0,11.467028682013806,38.0352644836272
