부지,인구_3km,인구_4.5km,인구_10km,고령_10km,고령비%
동국제강 인천 (폐·점),206965,509938,2345227,403200,17.2
현대제철 인천 (폐·점),187102,485960,2341418,403412,17.2
울산미포 (폴리곤),467637,623152,982108,152655,15.5
온산 (폴리곤),32241,63572,484535,79845,16.5
구미·전자 (폴리곤),166640,248108,458556,50869,11.1
포항·제철 (점·YUCH결측),9935,92833,418357,83156,19.9
여수·석화 (점·YUCH결측),409,2776,186495,32741,17.6
동해북평(국가·대조) (폴리곤),39062,75361,124462,28917,23.2
동해 북평2(GS2.4GW) (폴리곤),25978,69791,123274,28459,23.1
광양·제철 (폴리곤),72511,90220,120229,18943,15.8
당진1철강 (폴리곤),4334,9343,67149,10325,15.4
