key,"강가,해변",건물,길가,논밭,비닐하우스,산,실내 기타,실내 작업장,실외 기타,실외 작업장,운동장(공원),주거지 주변,집
강원특별자치도 강릉시,7.0,,15.0,8.0,,,,,19.0,30.0,,9.0,8.0
강원특별자치도 고성군,0.0,0.0,,,0.0,,0.0,0.0,,,,,0.0
강원특별자치도 동해시,,0.0,,9.0,,,0.0,,0.0,9.0,0.0,,
강원특별자치도 삼척시,,0.0,,,0.0,,0.0,0.0,,5.0,,,
강원특별자치도 속초시,,9.0,,,0.0,,,0.0,6.0,,,,0.0
강원특별자치도 양구군,0.0,0.0,,,,,0.0,0.0,0.0,5.0,,,0.0
강원특별자치도 양양군,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,
강원특별자치도 영월군,0.0,0.0,0.0,,,,0.0,,,5.0,0.0,,
강원특별자치도 원주시,0.0,0.0,11.0,6.0,,,,,7.0,22.0,,,0.0
강원특별자치도 인제군,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
강원특별자치도 정선군,,,,7.0,0.0,,0.0,0.0,0.0,,0.0,,0.0
강원특별자치도 철원군,,0.0,,11.0,,,,0.0,5.0,10.0,7.0,,
강원특별자치도 춘천시,0.0,,18.0,7.0,,,0.0,,15.0,21.0,,,
강원특별자치도 태백시,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,
강원특별자치도 평창군,0.0,0.0,,6.0,0.0,,0.0,0.0,,,0.0,,0.0
강원특별자치도 홍천군,0.0,0.0,,11.0,,0.0,0.0,0.0,,6.0,,0.0,0.0
강원특별자치도 화천군,0.0,0.0,,,0.0,0.0,0.0,0.0,,6.0,,0.0,0.0
강원특별자치도 횡성군,0.0,0.0,,11.0,,0.0,0.0,0.0,0.0,13.0,,,
경기도 가평군,,,,5.0,,,,0.0,8.0,22.0,,,
경기도 고양시,,5.0,10.0,12.0,,0.0,7.0,9.0,7.0,53.0,7.0,,10.0
경기도 과천시,0.0,0.0,0.0,0.0,0.0,,,0.0,8.0,,,,
