일시,전국평균최고,전국최고,일자,온열질환
2024-05-01,19.42577319587629,24.0,,0.0
2024-05-02,22.825773195876288,26.4,,0.0
2024-05-03,25.918556701030926,31.7,,0.0
2024-05-04,26.530927835051546,31.2,,0.0
2024-05-05,19.75360824742268,25.9,,0.0
2024-05-06,19.31958762886598,26.7,,0.0
2024-05-07,16.916494845360827,23.5,,0.0
2024-05-08,18.959793814432988,22.4,,0.0
2024-05-09,22.560824742268043,26.8,,0.0
2024-05-10,25.201030927835053,29.9,,0.0
2024-05-11,23.757731958762886,27.9,,0.0
2024-05-12,22.20721649484536,25.6,,0.0
2024-05-13,24.09278350515464,26.8,,0.0
2024-05-14,25.46701030927835,29.2,,0.0
2024-05-15,23.1340206185567,28.3,,0.0
2024-05-16,20.484375,24.5,,0.0
2024-05-17,24.984375,28.7,,0.0
2024-05-18,27.023958333333336,32.0,,0.0
2024-05-19,28.45625,31.6,,0.0
2024-05-20,25.730208333333334,31.8,,0.0
2024-05-21,24.616666666666664,29.5,2024-05-21,2.0
2024-05-22,26.537499999999998,30.7,2024-05-22,7.0
2024-05-23,28.50208333333333,33.4,2024-05-23,7.0
2024-05-24,25.915625000000002,32.5,2024-05-24,10.0
2024-05-25,23.620833333333334,27.4,2024-05-25,5.0
2024-05-26,24.72083333333333,29.4,2024-05-26,1.0
2024-05-27,23.559375,27.6,,0.0
2024-05-28,24.052083333333332,27.1,2024-05-28,2.0
2024-05-29,26.946875000000002,30.8,2024-05-29,4.0
2024-05-30,25.25257731958763,28.7,,0.0
2024-05-31,26.175257731958762,30.9,2024-05-31,4.0
2024-06-01,24.557731958762886,29.6,2024-06-01,1.0
2024-06-02,24.960824742268038,29.6,2024-06-02,1.0
2024-06-03,25.421649484536083,29.5,,0.0
2024-06-04,26.077319587628867,29.4,2024-06-04,4.0
2024-06-05,27.20824742268041,32.3,2024-06-05,4.0
2024-06-06,26.63917525773196,31.9,2024-06-06,5.0
2024-06-07,27.221649484536083,31.1,2024-06-07,6.0
2024-06-08,22.662886597938147,26.3,,0.0
2024-06-09,27.589690721649482,30.7,2024-06-09,10.0
2024-06-10,30.03298969072165,34.2,2024-06-10,10.0
2024-06-11,30.6319587628866,36.0,2024-06-11,25.0
2024-06-12,31.447422680412373,35.9,2024-06-12,24.0
2024-06-13,32.13917525773196,36.9,2024-06-13,27.0
