key,인구,고령,온열,온열률10만,온열률고령10만,정전건수,정전율만명,전력GWh,중증률
강원특별자치도 강릉시,210179,50881,113,53.8,222.1,206,9.8,1531.0,2.7
강원특별자치도 고성군,27071,8680,9,33.2,103.7,71,26.23,284.0,11.1
강원특별자치도 동해시,88788,20495,35,39.4,170.8,26,2.93,681.0,2.9
강원특별자치도 삼척시,62838,17849,25,39.8,140.1,72,11.46,565.0,4.0
강원특별자치도 속초시,81814,18088,32,39.1,176.9,6,0.73,467.0,6.2
강원특별자치도 양구군,21249,5193,21,98.8,404.4,29,13.65,147.0,4.8
강원특별자치도 양양군,27702,9188,15,54.1,163.3,29,10.47,261.0,13.3
강원특별자치도 영월군,37400,12506,16,42.8,127.9,47,12.57,800.0,0.0
강원특별자치도 원주시,359966,62966,58,16.1,92.1,156,4.33,1965.0,5.2
강원특별자치도 인제군,31747,7449,10,31.5,134.2,99,31.18,252.0,10.0
강원특별자치도 정선군,35012,11181,18,51.4,161.0,36,10.28,349.0,5.6
강원특별자치도 철원군,42036,10942,64,152.2,584.9,105,24.98,368.0,3.1
강원특별자치도 태백시,39452,11293,17,43.1,150.5,44,11.15,164.0,0.0
강원특별자치도 평창군,40758,13259,17,41.7,128.2,45,11.04,427.0,0.0
강원특별자치도 홍천군,67619,20771,24,35.5,115.5,130,19.23,495.0,4.2
강원특별자치도 화천군,23456,6069,12,51.2,197.7,36,15.35,198.0,0.0
강원특별자치도 횡성군,46263,15700,38,82.1,242.0,64,13.83,453.0,2.6
경기도 가평군,62290,18455,58,93.1,314.3,53,8.51,570.0,6.9
경기도 고양시,1073368,169619,132,12.3,77.8,188,1.75,3496.0,9.8
경기도 광명시,288624,46813,68,23.6,145.3,39,1.35,672.0,2.9
경기도 광주시,391188,62303,154,39.4,247.2,142,3.63,2185.0,3.9
경기도 구리시,189694,30613,30,15.8,98.0,84,4.43,584.0,3.3
경기도 김포시,483760,69655,51,10.5,73.2,166,3.43,3680.0,13.7
경기도 남양주시,729828,118914,151,20.7,127.0,120,1.64,2824.0,6.6
경기도 동두천시,90232,21204,87,96.4,410.3,114,12.63,329.0,3.4
경기도 부천시,787210,131675,124,15.8,94.2,114,1.45,3143.0,5.6
경기도 성남시,922013,150175,145,15.7,96.6,206,2.23,3864.0,6.9
경기도 수원시,1189588,154097,161,13.5,104.5,107,0.9,3780.0,6.8
경기도 시흥시,513119,58052,102,19.9,175.7,124,2.42,4139.0,5.9
경기도 안산시,635282,85609,135,21.3,157.7,469,7.38,6627.0,7.4
경기도 안성시,190827,37724,98,51.4,259.8,186,9.75,2878.0,1.0
경기도 양평군,123556,35849,34,27.5,94.8,92,7.45,603.0,5.9
경기도 여주시,113370,28227,68,60.0,240.9,126,11.11,1145.0,2.9
경기도 연천군,42181,12705,45,106.7,354.2,85,20.15,484.0,6.7
경기도 오산시,235114,26634,46,19.6,172.7,219,9.31,938.0,2.2
경기도 용인시,1079878,163013,153,14.2,93.9,243,2.25,6824.0,7.2
경기도 이천시,221965,36172,134,60.4,370.4,167,7.52,5710.0,6.7
경기도 파주시,496540,76647,222,44.7,289.6,264,5.32,7838.0,1.8
경기도 평택시,580017,76630,258,44.5,336.7,465,8.02,6472.0,5.4
경기도 포천시,144692,34180,131,90.5,383.3,211,14.58,2350.0,6.9
경기도 하남시,321086,46068,36,11.2,78.1,61,1.9,1406.0,16.7
경기도 화성시,926034,94368,237,25.6,251.1,226,2.44,19169.0,7.6
경상남도 거제시,236969,32647,253,106.8,774.9,51,2.15,1807.0,2.0
경상남도 거창군,60262,18352,6,10.0,32.7,44,7.3,344.0,0.0
경상남도 김해시,535584,73269,205,38.3,279.8,406,7.58,4572.0,3.4
경상남도 남해군,41364,16846,21,50.8,124.7,15,3.63,214.0,14.3
경상남도 밀양시,102221,33054,62,60.7,187.6,109,10.66,1114.0,8.1
경상남도 사천시,109316,26807,47,43.0,175.3,73,6.68,994.0,0.0
경상남도 산청군,33833,13698,44,130.0,321.2,53,15.66,251.0,4.5
경상남도 양산시,356092,58136,75,21.1,129.0,178,5.0,2857.0,12.0
경상남도 의령군,25740,10405,26,101.0,249.9,28,10.88,229.0,3.8
경상남도 진주시,342462,66100,141,41.2,213.3,188,5.49,2080.0,2.8
경상남도 창녕군,57978,20491,30,51.7,146.4,45,7.76,884.0,30.0
경상남도 창원시,1015126,176583,280,27.6,158.6,180,1.77,7855.0,4.3
경상남도 통영시,122009,28346,41,33.6,144.6,59,4.84,818.0,4.9
경상남도 하동군,42174,16350,49,116.2,299.7,65,15.41,398.0,2.0
경상남도 함안군,60797,17672,14,23.0,79.2,114,18.75,2764.0,7.1
경상남도 함양군,37274,13884,29,77.8,208.9,30,8.05,205.0,6.9
경상남도 합천군,41616,17913,47,112.9,262.4,67,16.1,289.0,0.0
경상북도 경산시,266046,51131,30,11.3,58.7,112,4.21,2210.0,10.0
경상북도 경주시,248551,63465,98,39.4,154.4,301,12.11,3582.0,9.2
경상북도 고령군,30367,10788,9,29.6,83.4,58,19.1,1072.0,11.1
경상북도 구미시,408538,47685,213,52.1,446.7,172,4.21,7883.0,5.2
경상북도 김천시,137810,35493,76,55.1,214.1,65,4.72,1508.0,3.9
경상북도 문경시,69048,23169,69,99.9,297.8,88,12.74,336.0,10.1
경상북도 봉화군,29858,12163,29,97.1,238.4,56,18.76,179.0,6.9
경상북도 상주시,93868,32423,49,52.2,151.1,84,8.95,526.0,14.3
경상북도 성주군,42180,15262,15,35.6,98.3,63,14.94,909.0,13.3
경상북도 영덕군,34373,14163,16,46.5,113.0,35,10.18,215.0,25.0
경상북도 영양군,15993,6488,5,31.3,77.1,19,11.88,75.0,0.0
경상북도 영주시,100340,30217,40,39.9,132.4,57,5.68,581.0,7.5
경상북도 영천시,99755,31392,12,12.0,38.2,74,7.42,1168.0,25.0
경상북도 예천군,55154,17741,66,119.7,372.0,59,10.7,254.0,6.1
경상북도 울진군,47048,14485,61,129.7,421.1,56,11.9,456.0,0.0
경상북도 의성군,49870,22493,39,78.2,173.4,102,20.45,331.0,7.7
경상북도 청도군,41297,17220,20,48.4,116.1,27,6.54,402.0,15.0
경상북도 청송군,24162,9955,28,115.9,281.3,35,14.49,145.0,0.0
경상북도 칠곡군,110645,20523,45,40.7,219.3,65,5.87,1606.0,4.4
경상북도 포항시,496123,101904,293,59.1,287.5,214,4.31,4796.0,3.8
광주광역시 광산구,397734,43830,111,27.9,253.2,231,5.81,2742.0,2.7
대구광역시 군위군,22634,10644,9,39.8,84.6,72,31.81,236.0,11.1
부산광역시 기장군,176589,32009,61,34.5,190.6,74,4.19,1291.0,3.3
부산광역시 동래구,271549,56529,22,8.1,38.9,198,7.29,729.0,4.5
부산광역시 영도구,107333,33367,38,35.4,113.9,37,3.45,304.0,10.5
서울특별시 강남구,543320,84612,34,6.3,40.2,199,3.66,3965.0,11.8
서울특별시 서초구,412033,64862,30,7.3,46.3,188,4.56,2741.0,0.0
인천광역시 강화군,69467,25408,55,79.2,216.5,91,13.1,445.0,5.5
전라남도 강진군,33039,12427,20,60.5,160.9,59,17.86,356.0,5.0
전라남도 고흥군,61553,27028,32,52.0,118.4,114,18.52,473.0,9.4
전라남도 곡성군,27231,10559,24,88.1,227.3,31,11.38,182.0,0.0
전라남도 광양시,152847,23222,207,135.4,891.4,79,5.17,1617.0,5.3
전라남도 구례군,24625,9245,43,174.6,465.1,20,8.12,137.0,0.0
전라남도 나주시,116650,27968,37,31.7,132.3,210,18.0,972.0,10.8
전라남도 담양군,45404,15326,29,63.9,189.2,53,11.67,366.0,6.9
전라남도 목포시,214270,41818,121,56.5,289.3,89,4.15,784.0,5.8
전라남도 무안군,91070,18828,63,69.2,334.6,135,14.82,618.0,9.5
전라남도 보성군,38319,15981,19,49.6,118.9,99,25.84,238.0,10.5
전라남도 순천시,278720,49901,157,56.3,314.6,143,5.13,1825.0,4.5
전라남도 신안군,38846,14951,55,141.6,367.9,47,12.1,292.0,14.5
전라남도 여수시,272427,60270,218,80.0,361.7,159,5.84,12116.0,7.8
전라남도 영광군,52442,16242,38,72.5,234.0,105,20.02,666.0,13.2
전라남도 영암군,52140,15174,55,105.5,362.4,150,28.77,1163.0,18.2
전라남도 완도군,47171,16749,22,46.6,131.4,58,12.3,1027.0,9.1
전라남도 장성군,43083,14079,27,62.7,191.8,49,11.37,438.0,11.1
전라남도 장흥군,35615,13262,8,22.5,60.3,40,11.23,316.0,12.5
전라남도 진도군,29370,10629,38,129.4,357.5,76,25.88,309.0,7.9
전라남도 함평군,30696,12159,48,156.4,394.8,82,26.71,358.0,0.0
전라남도 해남군,65280,23189,80,122.5,345.0,169,25.89,702.0,10.0
전라남도 화순군,61562,18017,20,32.5,111.0,51,8.28,420.0,0.0
제주특별자치도 서귀포시,182638,39361,146,79.9,370.9,350,19.16,2045.0,4.8
충청남도 공주시,102271,30144,41,40.1,136.0,68,6.65,784.0,9.8
충청남도 금산군,50097,17326,17,33.9,98.1,58,11.58,472.0,0.0
충청남도 논산시,111584,33224,47,42.1,141.5,66,5.91,1098.0,12.8
충청남도 당진시,169398,34786,144,85.0,414.0,144,8.5,5977.0,5.6
충청남도 보령시,96243,28232,25,26.0,88.6,91,9.46,1038.0,0.0
충청남도 부여군,61740,23869,60,97.2,251.4,81,13.12,505.0,6.7
충청남도 서산시,175257,36280,92,52.5,253.6,138,7.87,8877.0,5.4
충청남도 서천군,49520,19804,19,38.4,95.9,72,14.54,558.0,21.1
충청남도 아산시,339239,48850,118,34.8,241.6,187,5.51,12584.0,4.2
충청남도 예산군,78035,26467,114,146.1,430.7,117,14.99,1053.0,5.3
충청남도 천안시,659175,84620,131,19.9,154.8,314,4.76,7660.0,6.9
충청남도 청양군,30244,11721,47,155.4,401.0,48,15.87,274.0,6.4
충청남도 태안군,60910,21336,23,37.8,107.8,130,21.34,857.0,8.7
충청남도 홍성군,99128,25876,59,59.5,228.0,120,12.11,834.0,6.8
충청북도 단양군,27852,9898,28,100.5,282.9,55,19.75,1458.0,10.7
충청북도 보은군,31301,12029,35,111.8,291.0,70,22.36,282.0,8.6
충청북도 영동군,44830,16022,26,58.0,162.3,47,10.48,268.0,3.8
충청북도 옥천군,49472,16496,46,93.0,278.8,52,10.51,365.0,2.2
충청북도 음성군,92351,22453,60,65.0,267.2,116,12.56,2964.0,8.3
충청북도 제천시,130393,33029,74,56.8,224.0,127,9.74,1179.0,8.1
충청북도 진천군,85735,15659,64,74.6,408.7,135,15.75,2765.0,9.4
충청북도 청주시,850987,131415,293,34.4,223.0,128,1.5,8040.0,2.7
충청북도 충주시,208229,47204,44,21.1,93.2,188,9.03,2087.0,18.2
