본부,지사,정전건수,일시건수,정전호수,평균지속h,key
강원본부,강릉지사,199,61,25927.0,0.6731044109436068,강원특별자치도 강릉시
강원본부,강릉특별지사,7,7,3850.0,1.080515873015873,강원특별자치도 강릉시
강원본부,강원본부직할,104,45,22387.0,1.1294658119658119,
강원본부,고성지사,2,2,528.0,1.3169444444444445,강원특별자치도 고성군
강원본부,동해지사,26,16,11354.0,0.7278418803418804,강원특별자치도 동해시
강원본부,삼척지사,72,25,18900.0,0.7077739197530865,강원특별자치도 삼척시
강원본부,속초고성지사,57,16,5163.0,0.2939132553606238,
강원본부,속초지사,6,6,2748.0,0.4981481481481482,강원특별자치도 속초시
강원본부,양구지사,29,13,7019.0,0.7080076628352491,강원특별자치도 양구군
강원본부,양양지사,29,10,3436.0,0.5211781609195402,강원특별자치도 양양군
강원본부,영월지사,47,17,6202.0,0.8723522458628842,강원특별자치도 영월군
강원본부,원주지사,156,31,13001.0,0.36579415954415956,강원특별자치도 원주시
강원본부,인제지사,99,26,13129.0,0.4270987654320988,강원특별자치도 인제군
강원본부,정선지사,36,12,2978.0,0.6401466049382716,강원특별자치도 정선군
강원본부,철원지사,105,29,15066.0,0.5160026455026455,강원특별자치도 철원군
강원본부,태백지사,44,12,7720.0,0.5677777777777778,강원특별자치도 태백시
강원본부,평창지사,45,10,4288.0,0.4702716049382715,강원특별자치도 평창군
강원본부,홍천지사,130,41,23881.0,0.6608846153846154,강원특별자치도 홍천군
강원본부,화천지사,36,9,3135.0,0.6778317901234568,강원특별자치도 화천군
강원본부,횡성지사,64,19,9310.0,0.5313671875,강원특별자치도 횡성군
경기본부,경기본부직할,96,34,7864.0,0.4714207175925926,
경기본부,광명지사,39,14,5033.0,0.4817948717948718,경기도 광명시
경기본부,광주지사,142,45,24949.0,0.8315179968701095,경기도 광주시
경기본부,동용인지사,129,29,16569.0,0.29758828596037895,경기도 용인시
경기본부,서수원지사,107,43,17745.0,0.3927076843198338,경기도 수원시
경기본부,서용인지사,114,38,6764.0,0.6368469785575049,경기도 용인시
경기본부,서평택지사,236,52,20302.0,0.5743173258003766,경기도 평택시
경기본부,성남지사,206,55,20227.0,0.3864697950377562,경기도 성남시
경기본부,안산지사,469,72,33472.0,0.23151149016820657,경기도 안산시
경기본부,안성지사,186,31,10693.0,0.26718189964157707,경기도 안성시
경기본부,안양군포의왕지사,279,60,18370.0,0.3886469534050179,
경기본부,여주지사,126,43,25102.0,0.578531746031746,경기도 여주시
경기본부,오산지사,219,49,7881.0,0.40718797564687975,경기도 오산시
경기본부,이천지사,167,36,18558.0,0.39907185628742514,경기도 이천시
경기본부,평택지사,229,60,29777.0,0.5451746724890829,경기도 평택시
경기본부,하남지사,61,22,7930.0,0.5611703096539162,경기도 하남시
경기본부,화성지사,226,36,24131.0,0.3775049164208456,경기도 화성시
경기북부본부,가평지사,53,16,10277.0,0.7766090146750524,경기도 가평군
경기북부본부,경기북부본부직할,120,36,16008.0,0.48451388888888886,
경기북부본부,고양지사,188,76,25053.0,0.5944385342789598,경기도 고양시
경기북부본부,구리지사,84,22,8923.0,0.39680886243386243,경기도 구리시
경기북부본부,남양주지사,120,24,14684.0,0.2753888888888889,경기도 남양주시
경기북부본부,동두천지사,114,34,11755.0,0.31094541910331386,경기도 동두천시
경기북부본부,양평지사,92,34,24050.0,0.530066425120773,경기도 양평군
