연도,key,산업용,산업용여름,주택용,주택용여름,일반용,일반용여름,제조업,제조업여름
2020,강원특별자치도 강릉시,767.6,193.1,321.6,78.3,588.9,150.8,673.9,168.9
2020,강원특별자치도 고성군,50.4,12.8,39.0,9.2,145.5,36.3,30.2,7.6
2020,강원특별자치도 동해시,1771.1,438.5,133.9,32.4,212.1,52.0,1691.8,418.9
2020,강원특별자치도 삼척시,1093.1,246.2,95.5,22.9,163.5,41.7,857.5,198.8
2020,강원특별자치도 속초시,63.4,16.1,129.6,31.6,264.5,68.0,42.8,10.6
2020,강원특별자치도 양구군,19.3,4.5,29.3,7.0,81.8,18.8,6.9,1.6
2020,강원특별자치도 양양군,46.2,11.9,44.9,10.9,136.7,33.6,30.3,7.8
2020,강원특별자치도 영월군,842.7,188.1,54.3,12.9,87.5,20.7,790.1,174.9
2020,강원특별자치도 원주시,755.1,178.5,549.4,133.6,793.5,200.9,656.0,153.6
2020,강원특별자치도 인제군,39.1,9.6,44.2,10.4,145.9,34.0,14.0,3.6
2020,강원특별자치도 정선군,240.2,46.6,53.9,12.6,181.6,39.4,217.4,41.1
2020,강원특별자치도 철원군,58.4,14.1,57.4,13.7,157.3,36.8,34.1,8.1
2020,강원특별자치도 춘천시,235.4,62.4,426.0,106.4,811.4,210.2,135.0,37.2
2020,강원특별자치도 태백시,104.7,25.2,60.5,13.9,94.0,20.9,25.9,6.0
2020,강원특별자치도 평창군,88.4,21.8,68.0,16.0,239.0,50.9,42.4,10.7
2020,강원특별자치도 홍천군,129.4,34.7,97.3,23.7,248.2,62.5,100.6,27.6
2020,강원특별자치도 화천군,23.2,5.3,31.8,7.7,119.7,27.4,5.7,1.3
2020,강원특별자치도 횡성군,227.6,59.4,66.4,15.9,123.7,29.1,187.4,49.4
2020,경기도 가평군,89.5,21.3,87.9,21.6,337.4,79.1,50.1,11.7
2020,경기도 고양시,725.8,175.5,1520.4,394.3,2000.1,506.6,333.8,75.3
2020,경기도 과천시,44.0,11.6,85.5,22.2,200.0,50.5,1.9,0.5
2020,경기도 광명시,248.2,60.3,375.9,96.6,394.6,102.7,206.0,49.6
2020,경기도 광주시,1123.5,263.1,558.8,140.6,709.1,173.8,968.6,222.7
2020,경기도 구리시,117.3,29.0,282.5,74.2,376.7,101.0,33.4,7.9
2020,경기도 군포시,615.9,150.1,385.0,95.8,423.6,108.8,396.2,96.7
2020,경기도 김포시,2107.6,478.9,719.6,178.3,907.0,233.4,1990.0,449.0
2020,경기도 남양주시,892.8,215.8,1033.5,259.1,1055.8,260.6,514.7,118.3
2020,경기도 동두천시,259.0,64.5,134.5,34.1,229.7,58.7,182.7,44.3
2020,경기도 부천시,1536.3,380.5,1195.1,308.5,1304.9,342.9,1363.8,339.7
2020,경기도 성남시,881.7,235.0,1422.4,374.7,2656.5,730.7,370.9,101.8
2020,경기도 수원시,698.7,179.5,1779.9,462.8,2902.3,784.9,568.9,146.2
2020,경기도 시흥시,2807.5,666.9,766.7,196.6,839.4,212.9,2662.4,630.1
2020,경기도 안산시,5771.2,1465.2,966.0,248.5,1127.5,291.4,5460.9,1385.5
2020,경기도 안성시,1855.1,467.8,282.8,70.9,556.4,138.6,1786.2,449.5
2020,경기도 안양시,473.7,121.3,786.5,199.9,1320.5,350.2,344.3,88.4
2020,경기도 양주시,1140.5,261.3,291.3,74.3,517.6,128.7,1042.9,237.6
2020,경기도 양평군,110.5,26.9,172.4,41.8,284.2,64.8,26.5,6.4
2020,경기도 여주시,510.7,122.2,157.0,39.0,342.2,85.9,460.9,109.6
2020,경기도 연천군,195.1,47.2,58.1,14.3,155.3,36.8,140.0,33.9
2020,경기도 오산시,544.7,138.9,355.4,91.2,413.6,106.8,486.7,124.7
2020,경기도 용인시,5563.0,1457.8,1614.1,405.6,2565.0,665.7,4566.7,1188.4
2020,경기도 의왕시,141.6,34.2,235.3,58.5,351.1,90.5,107.5,25.5
2020,경기도 의정부시,255.0,63.1,657.1,165.5,705.9,183.2,58.1,13.4
2020,경기도 이천시,5981.6,1558.0,313.7,80.1,746.9,188.6,5887.5,1533.1
2020,경기도 파주시,6525.6,1672.3,671.1,171.1,1043.0,257.9,6329.2,1620.6
2020,경기도 평택시,9602.4,2483.1,867.7,221.9,1590.4,418.0,8821.0,2293.8
2020,경기도 포천시,1559.5,358.1,199.5,48.8,498.6,119.4,1430.4,323.9
2020,경기도 하남시,528.4,137.1,462.3,126.0,605.5,161.9,88.2,21.0
2020,경기도 화성시,15250.5,3854.0,1343.4,344.2,2286.9,594.8,14960.3,3775.1
2020,경상남도 거제시,1099.0,306.8,382.1,96.8,449.2,118.4,1024.0,287.1
2020,경상남도 거창군,131.2,33.9,83.3,20.2,112.0,26.4,113.5,29.4
2020,경상남도 고성군,373.1,108.4,71.1,17.3,111.5,27.1,188.5,47.4
2020,경상남도 김해시,3081.5,709.2,790.7,205.5,970.3,260.4,2799.5,633.0
2020,경상남도 남해군,21.2,5.5,54.2,13.1,102.8,25.6,8.3,2.2
2020,경상남도 밀양시,503.2,115.2,147.7,36.8,211.8,52.8,440.8,99.5
2020,경상남도 사천시,816.6,196.1,160.4,40.6,244.4,61.5,756.5,180.5
2020,경상남도 산청군,83.2,21.3,43.0,10.3,68.9,16.6,68.8,17.5
2020,경상남도 양산시,2337.1,570.2,531.0,137.2,636.6,167.6,1993.6,483.9
2020,경상남도 의령군,190.5,46.5,35.0,8.4,53.3,12.7,179.0,43.6
2020,경상남도 진주시,848.4,191.4,534.2,135.0,694.2,181.5,750.5,165.0
2020,경상남도 창녕군,469.3,108.8,82.7,20.1,136.1,33.5,448.8,103.4
2020,경상남도 창원시,6005.9,1403.5,1544.7,401.9,1987.2,530.6,5721.0,1329.7
2020,경상남도 통영시,290.0,68.1,191.7,47.9,307.0,77.3,92.3,22.9
2020,경상남도 하동군,143.8,41.6,55.0,13.3,81.5,19.4,39.7,10.2
2020,경상남도 함안군,2243.5,510.7,90.3,22.6,128.5,32.8,2147.4,486.6
2020,경상남도 함양군,54.9,13.4,52.2,12.6,66.1,16.0,41.9,10.2
2020,경상남도 합천군,72.1,17.4,56.1,13.3,92.4,21.8,52.7,12.4
2020,경상북도 경산시,1507.2,354.0,401.0,100.7,463.2,119.0,1429.7,333.8
2020,경상북도 경주시,2442.0,573.9,389.6,97.6,643.5,167.5,1719.0,388.0
2020,경상북도 고령군,976.7,214.7,40.1,9.8,66.7,16.6,948.5,207.5
2020,경상북도 구미시,7762.3,1993.8,604.0,154.5,699.3,180.6,7512.1,1928.0
2020,경상북도 군위군,143.3,32.6,28.1,6.7,54.0,13.0,133.6,30.2
2020,경상북도 김천시,1510.8,370.3,197.5,48.7,282.0,72.7,1344.0,328.9
2020,경상북도 문경시,187.2,44.3,96.6,23.2,151.2,35.8,155.9,36.4
2020,경상북도 봉화군,1674.3,387.6,41.2,9.9,51.2,11.6,1652.4,382.3
