key,peak연도,peak대비%,전체산업Δ,중공업Δ,반도체Δ,25중공업비중%,25반도체비중%,26회복%,분류
충청남도 당진시,2020,-41.6,-3872,-3827,0,83.8,0.2,-2.3,구조적 폐산단(중공업)
울산광역시 남구,2021,-20.3,-2473,-2075,-2,88.0,0.0,-2.7,구조적 폐산단(중공업)
울산광역시 울주군,2020,-11.8,-1416,-1714,0,82.8,0.1,-7.8,유지/증가
경상북도 봉화군,2023,-45.6,-682,-676,0,97.4,0.0,92.1,기타 하락
강원특별자치도 동해시,2022,-41.7,-612,-654,0,87.0,0.0,-5.2,구조적 폐산단(중공업)
인천광역시 동구,2021,-27.4,-775,-395,2,36.9,0.1,-3.4,구조적 폐산단(중공업)
부산광역시 사하구,2021,-21.1,-336,-351,-2,55.7,0.3,1.1,구조적 폐산단(중공업)
경기도 파주시,2022,-14.1,-396,-243,-232,13.2,71.8,-5.2,유지/증가
강원특별자치도 삼척시,2024,-14.1,-118,-221,0,64.6,0.0,-1.3,유지/증가
대전광역시 대덕구,2022,-10.0,-165,-190,-11,35.8,5.4,-1.5,유지/증가
경상남도 창원시,2021,-6.8,-39,-174,24,72.0,3.1,-0.5,유지/증가
강원특별자치도 영월군,2021,-22.0,-138,-154,0,89.1,0.0,3.4,기타 하락
전라남도 나주시,2021,-25.2,-115,-143,0,37.8,0.5,-1.2,기타 하락
충청북도 단양군,2023,-21.1,-147,-143,0,93.9,0.0,-5.6,기타 하락
부산광역시 사상구,2021,-16.4,-111,-102,-1,72.5,2.0,-5.0,기타 하락
경기도 시흥시,2021,-4.1,0,-79,183,53.5,14.5,0.8,유지/증가
경기도 안산시,2021,-8.8,-480,-74,2,40.3,21.0,-0.8,유지/증가
강원특별자치도 강릉시,2022,-13.2,22,-71,30,63.6,6.0,0.4,유지/증가
인천광역시 부평구,2020,-7.1,-51,-70,7,49.3,8.3,3.1,유지/증가
경상북도 구미시,2021,-10.6,-426,-63,-304,23.1,46.5,-3.7,반도체(경기민감)
인천광역시 남동구,2021,-7.0,-52,-59,3,62.2,15.1,-1.0,유지/증가
경기도 이천시,2022,-39.7,-1595,-55,-1572,7.3,78.5,7.1,반도체(경기민감)
경기도 수원시,2021,-8.0,-27,-46,3,46.4,15.3,-0.7,유지/증가
