시도,dt,온열
강원특별자치도,2020-05-29,1
강원특별자치도,2020-06-01,1
강원특별자치도,2020-06-03,1
강원특별자치도,2020-06-07,1
강원특별자치도,2020-06-08,3
강원특별자치도,2020-06-09,1
강원특별자치도,2020-06-11,1
강원특별자치도,2020-06-13,3
강원특별자치도,2020-06-14,1
강원특별자치도,2020-06-15,1
강원특별자치도,2020-06-22,1
강원특별자치도,2020-06-23,1
강원특별자치도,2020-06-27,1
강원특별자치도,2020-06-29,1
강원특별자치도,2020-07-03,1
강원특별자치도,2020-07-05,1
강원특별자치도,2020-07-09,1
강원특별자치도,2020-07-17,1
강원특별자치도,2020-07-29,1
강원특별자치도,2020-07-31,1
강원특별자치도,2020-08-05,1
강원특별자치도,2020-08-07,1
강원특별자치도,2020-08-12,1
강원특별자치도,2020-08-13,5
강원특별자치도,2020-08-14,2
강원특별자치도,2020-08-16,1
강원특별자치도,2020-08-17,2
강원특별자치도,2020-08-18,3
강원특별자치도,2020-08-19,2
강원특별자치도,2020-08-20,1
강원특별자치도,2020-08-21,1
강원특별자치도,2020-08-24,2
강원특별자치도,2020-08-25,2
강원특별자치도,2020-08-26,1
강원특별자치도,2020-09-01,1
강원특별자치도,2021-06-08,1
강원특별자치도,2021-06-09,1
강원특별자치도,2021-06-12,2
강원특별자치도,2021-06-25,1
강원특별자치도,2021-06-28,1
강원특별자치도,2021-07-01,1
강원특별자치도,2021-07-06,2
강원특별자치도,2021-07-13,1
강원특별자치도,2021-07-14,7
강원특별자치도,2021-07-15,1
강원특별자치도,2021-07-16,1
강원특별자치도,2021-07-18,2
강원특별자치도,2021-07-20,3
강원특별자치도,2021-07-22,1
강원특별자치도,2021-07-23,4
강원특별자치도,2021-07-24,1
강원특별자치도,2021-07-25,2
강원특별자치도,2021-07-26,2
강원특별자치도,2021-07-27,1
강원특별자치도,2021-07-28,2
강원특별자치도,2021-07-29,1
강원특별자치도,2021-07-30,1
강원특별자치도,2021-07-31,3
강원특별자치도,2021-08-02,1
강원특별자치도,2021-08-03,2
강원특별자치도,2021-08-04,1
강원특별자치도,2021-08-05,2
강원특별자치도,2021-08-06,2
강원특별자치도,2021-08-09,1
