촬영일,path,row,기준선,0-0.5km,유효0-0.5km,0.5-1km,유효0.5-1km,1-2km,유효1-2km,2-3km,유효2-3km,3-5km,유효3-5km,5-10km,유효5-10km,기,월
2020-06-08,115,035,33.02,-2.931,0.57,,0.45,,0.47,2.436,0.77,2.233,0.88,1.792,0.91,P1 빈 땅,6
2020-09-19,116,034,27.19,,0.02,,0.11,,0.16,,0.3,,0.32,,0.3,P1 빈 땅,9
2020-09-28,115,035,22.18,-3.452,1.0,-2.654,0.96,-0.023,0.77,0.657,0.86,0.721,0.91,1.037,0.96,P1 빈 땅,9
2022-06-22,115,035,36.47,,0.0,,0.0,,0.08,,0.29,1.26,0.68,0.718,0.75,P1 빈 땅,6
2023-06-09,115,035,32.24,-0.265,1.0,-1.237,0.87,1.09,0.82,1.372,0.88,1.155,0.93,1.478,0.88,P2 준공직전,6
2023-06-16,116,034,34.93,-1.01,0.8,,0.53,0.59,0.67,0.502,0.9,0.499,0.87,0.657,0.79,P2 준공직전,6
2023-06-17,115,035,33.3,0.064,1.0,-0.985,0.88,1.467,0.87,1.433,0.98,1.227,0.99,1.478,0.98,P2 준공직전,6
2023-06-24,116,034,34.7,,0.18,,0.29,,0.51,0.385,0.83,0.51,0.72,1.137,0.57,P2 준공직전,6
2024-06-02,116,034,30.96,,0.31,,0.44,0.112,0.63,0.451,0.88,0.399,0.89,0.776,0.67,P3 가동,6
2024-06-03,115,035,30.72,-1.246,0.76,-2.204,0.69,0.402,0.78,1.02,0.93,1.073,0.95,1.407,0.94,P3 가동,6
2024-06-11,115,035,32.9,-0.159,0.63,,0.48,1.688,0.55,1.665,0.86,1.686,0.9,1.66,0.93,P3 가동,6
2024-06-18,116,034,35.34,-1.202,0.77,,0.44,0.277,0.67,0.58,0.89,1.141,0.91,1.421,0.75,P3 가동,6
2024-08-06,115,035,40.55,,0.0,,0.0,,0.07,,0.14,,0.11,,0.26,P3 가동,8
2024-08-13,116,034,36.24,,0.0,,0.0,,0.0,,0.0,,0.03,,0.1,P3 가동,8
2024-08-14,115,035,34.64,,0.0,,0.0,,0.01,,0.05,,0.05,,0.12,P3 가동,8
2024-08-29,116,034,31.45,,0.0,,0.0,,0.0,,0.05,,0.01,,0.03,P3 가동,8
2025-06-05,116,034,31.98,-2.004,0.78,,0.45,,0.52,0.759,0.76,0.638,0.88,0.689,0.88,P3 가동,6
2025-08-01,115,035,39.85,-0.478,1.0,-0.138,0.89,,0.41,,0.44,,0.36,,0.42,P3 가동,8
