촬영일,path,row,기,기준선,기준n,ΔT300,n300,유효비300,ΔT500,n500,유효비500,ΔT800,n800,유효비800,부지위도,부지경도
2020-06-08,115,035,P1 빈 땅,33.02,913464,-2.975,180,0.57,-2.931,494,0.57,-2.822,1197,0.54,36.50841,127.34056
2020-09-19,116,034,P1 빈 땅,27.19,139613,,0,0.0,-2.546,15,0.02,-2.133,138,0.06,36.50841,127.34056
2020-09-28,115,035,P1 빈 땅,22.18,830995,-3.409,316,1.01,-3.452,872,1.0,-3.226,2186,0.98,36.50841,127.34056
2022-06-22,115,035,P1 빈 땅,36.47,743963,,0,0.0,,0,0.0,,0,0.0,36.50841,127.34056
2023-06-09,115,035,P2 준공직전,32.24,771621,1.791,316,1.01,-0.265,872,1.0,-1.026,2102,0.94,36.50841,127.34056
2023-06-16,116,034,P2 준공직전,34.93,376331,1.033,296,0.94,-1.01,700,0.8,-1.744,1497,0.67,36.50841,127.34056
2023-06-17,115,035,P2 준공직전,33.3,948437,2.15,316,1.01,0.064,872,1.0,-0.752,2102,0.94,36.50841,127.34056
2023-06-24,116,034,P2 준공직전,34.7,226592,4.937,32,0.1,2.541,153,0.18,0.298,567,0.25,36.50841,127.34056
2024-06-02,116,034,P3 가동,30.96,350358,2.784,39,0.12,-0.483,274,0.31,-1.64,914,0.41,36.50841,127.34056
2024-06-03,115,035,P3 가동,30.72,903817,0.856,261,0.83,-1.246,664,0.76,-1.764,1610,0.72,36.50841,127.34056
2024-06-11,115,035,P3 가동,32.9,908631,1.96,216,0.69,-0.159,549,0.63,-0.64,1298,0.58,36.50841,127.34056
2024-06-18,116,034,P3 가동,35.34,373505,0.24,278,0.88,-1.202,668,0.77,-1.603,1326,0.59,36.50841,127.34056
2024-08-06,115,035,P3 가동,40.55,275314,,0,0.0,,0,0.0,,0,0.0,36.50841,127.34056
2024-08-13,116,034,P3 가동,36.24,83556,,0,0.0,,0,0.0,,0,0.0,36.50841,127.34056
2024-08-14,115,035,P3 가동,34.64,301915,,0,0.0,,0,0.0,,0,0.0,36.50841,127.34056
2024-08-29,116,034,P3 가동,31.45,28573,,0,0.0,,0,0.0,,0,0.0,36.50841,127.34056
2025-06-05,116,034,P3 가동,31.98,408700,-0.634,297,0.95,-2.004,681,0.78,-2.264,1319,0.59,36.50841,127.34056
2025-08-01,115,035,P3 가동,39.85,440194,1.197,316,1.01,-0.478,872,1.0,-0.644,2173,0.97,36.50841,127.34056
