부지,시군구,인구10km,고령10km,발생률,배수m,하한,중심,상한
인천 동국제강,인천광역시 동구,2345227,403200,5.5,1.63,9.13,13.24,24.64
인천 현대제철,인천광역시 동구,2341418,403412,5.5,1.63,8.96,13.06,24.3
울산 미포,울산광역시 남구,982108,152655,5.3,1.51,5.55,6.84,12.87
구미 전자,경상북도 구미시,458556,50869,8.0,1.46,3.16,4.01,7.49
울산 온산,울산광역시 울주군,484535,79845,8.7,1.57,2.46,3.68,6.8
광양 제철,전라남도 광양시,120229,18943,20.7,1.39,2.35,2.81,5.24
포항 제철,경상북도 포항시,418357,83156,9.4,1.37,1.65,2.45,4.47
여수 석화,전라남도 여수시,186495,32741,12.4,1.54,1.05,1.71,3.12
동해 북평(국가),강원특별자치도 동해시,124462,28917,6.4,1.57,0.83,1.05,1.98
동해 북평2 (GS 2.4GW),강원특별자치도 동해시,123274,28459,6.4,1.57,0.75,0.98,1.83
당진1 철강,충청남도 당진시,67149,10325,13.2,1.58,0.53,0.8,1.47
