부지,시군구,인구10km,고령비,발생률,배수m,기저환자,하한,중심,상한,증가율중심,증가율상한,연령가중중심
KG스틸 인천,인천광역시 서구,2741109,,5.4,1.56,147.2,10.47,14.76,27.43,10.02,18.63,14.76
동국제강 인천,인천광역시 동구,2345229,0.172,5.5,1.63,129.0,9.15,13.24,24.64,10.26,19.1,13.08
현대제철 인천,인천광역시 동구,2341419,0.172,5.5,1.63,128.8,9.03,13.13,24.42,10.19,18.96,12.98
울산미포,울산광역시 남구,982108,0.155,5.3,1.51,52.4,6.15,7.31,13.83,13.95,26.4,7.14
구미·전자,경상북도 구미시,458556,0.111,8.0,1.46,36.9,3.44,4.22,7.92,11.46,21.49,3.99
포항 광명,경상북도 포항시,446008,,9.4,1.37,41.9,3.01,3.79,7.01,9.03,16.72,3.79
온산,울산광역시 울주군,484536,0.165,8.7,1.57,42.3,2.41,3.61,6.66,8.52,15.74,3.55
광양·제철,전라남도 광양시,120230,0.158,20.7,1.39,24.9,2.43,2.87,5.36,11.52,21.53,2.8
심팩 포항,경상북도 포항시,379591,,9.4,1.37,35.7,1.89,2.62,4.81,7.34,13.47,2.62
포항·제철,경상북도 포항시,418356,0.199,9.4,1.37,39.3,1.69,2.49,4.54,6.32,11.55,2.5
여수·석화,전라남도 여수시,186497,0.176,12.4,1.54,23.1,1.0,1.64,3.01,7.11,13.0,1.63
동해북평,강원특별자치도 동해시,124462,0.232,6.4,1.57,8.0,0.82,1.05,1.98,13.1,24.65,1.08
동해 북평2,강원특별자치도 동해시,123275,0.231,6.4,1.57,7.9,0.71,0.94,1.76,11.86,22.2,0.97
당진1철강,충청남도 당진시,67150,0.154,13.2,1.58,8.8,0.52,0.78,1.44,8.81,16.29,0.76
온산 강양·우봉지구,울산광역시 울주군,64468,,8.7,1.57,5.6,0.32,0.48,0.89,8.53,15.75,0.48
