부지,형상,링,누적인구,링인구
광양·제철,폴리곤,0-1km,16050,16050
광양·제철,폴리곤,1-2km,45510,29460
광양·제철,폴리곤,2-3km,72512,27002
광양·제철,폴리곤,3-5km,91309,18797
광양·제철,폴리곤,5-10km,120229,28921
여수·석화,점,0-1km,58,58
여수·석화,점,1-2km,195,138
여수·석화,점,2-3km,409,214
여수·석화,점,3-5km,3994,3585
여수·석화,점,5-10km,186496,182502
울산미포,폴리곤,0-1km,203991,203991
울산미포,폴리곤,1-2km,338678,134687
울산미포,폴리곤,2-3km,467638,128960
울산미포,폴리곤,3-5km,665708,198070
울산미포,폴리곤,5-10km,982108,316400
온산,폴리곤,0-1km,5239,5239
온산,폴리곤,1-2km,26510,21271
온산,폴리곤,2-3km,32242,5732
온산,폴리곤,3-5km,67669,35427
온산,폴리곤,5-10km,484535,416867
포항·제철,점,0-1km,211,211
포항·제철,점,1-2km,3607,3395
포항·제철,점,2-3km,9936,6329
포항·제철,점,3-5km,129824,119888
포항·제철,점,5-10km,418357,288533
구미·전자,폴리곤,0-1km,65906,65906
구미·전자,폴리곤,1-2km,134819,68913
구미·전자,폴리곤,2-3km,166640,31821
구미·전자,폴리곤,3-5km,263270,96629
구미·전자,폴리곤,5-10km,458557,195287
당진1철강,폴리곤,0-1km,604,604
당진1철강,폴리곤,1-2km,1593,988
당진1철강,폴리곤,2-3km,4335,2742
당진1철강,폴리곤,3-5km,11247,6913
당진1철강,폴리곤,5-10km,67150,55903
동해북평,폴리곤,0-1km,4773,4773
동해북평,폴리곤,1-2km,14297,9523
동해북평,폴리곤,2-3km,39062,24765
동해북평,폴리곤,3-5km,84730,45668
동해북평,폴리곤,5-10km,124463,39733
동해 북평2,폴리곤,0-1km,878,878
동해 북평2,폴리곤,1-2km,7308,6430
동해 북평2,폴리곤,2-3km,25979,18671
동해 북평2,폴리곤,3-5km,73465,47487
동해 북평2,폴리곤,5-10km,123274,49809
현대제철 인천,점,0-1km,17705,17705
현대제철 인천,점,1-2km,71637,53932
현대제철 인천,점,2-3km,187102,115465
현대제철 인천,점,3-5km,648848,461746
현대제철 인천,점,5-10km,2341419,1692571
동국제강 인천,점,0-1km,28486,28486
동국제강 인천,점,1-2km,88021,59536
동국제강 인천,점,2-3km,206966,118944
동국제강 인천,점,3-5km,644528,437563
동국제강 인천,점,5-10km,2345228,1700700
심팩 포항,점,0-1km,227,227
심팩 포항,점,1-2km,5001,4774
심팩 포항,점,2-3km,40459,35457
심팩 포항,점,3-5km,191344,150886
심팩 포항,점,5-10km,379591,188247
KG스틸 인천,점,0-1km,5765,5765
KG스틸 인천,점,1-2km,110109,104344
KG스틸 인천,점,2-3km,302710,192601
KG스틸 인천,점,3-5km,1040743,738033
KG스틸 인천,점,5-10km,2741109,1700366
포항 광명,점,0-1km,27414,27414
포항 광명,점,1-2km,83777,56362
포항 광명,점,2-3km,157676,73899
포항 광명,점,3-5km,276856,119180
포항 광명,점,5-10km,446009,169153
온산 강양·우봉지구,점,0-1km,138,138
온산 강양·우봉지구,점,1-2km,2888,2750
온산 강양·우봉지구,점,2-3km,3960,1072
온산 강양·우봉지구,점,3-5km,10074,6115
온산 강양·우봉지구,점,5-10km,64467,54393
