부지,형상,링,링면적km2,피복면적km2,수역비,시가화·건조,농업,산림,초지,습지,나지,수역,주거지(L2=110)
광양·제철,폴리곤,0-1km,34.1,33.7,0.5608,0.3558,0.0524,0.0857,0.167,0.304,0.0352,1.2766,0.0141
광양·제철,폴리곤,1-2km,34.5,31.3,0.48,0.2431,0.0726,0.2422,0.1195,0.2564,0.0661,0.923,0.0127
광양·제철,폴리곤,2-3km,40.0,30.3,0.3614,0.2682,0.1474,0.2939,0.132,0.0418,0.1167,0.5658,0.0111
광양·제철,폴리곤,3-5km,98.0,68.2,0.2817,0.172,0.1531,0.4079,0.1622,0.0269,0.0778,0.3921,0.0061
광양·제철,폴리곤,5-10km,352.2,222.2,0.2417,0.1395,0.1361,0.4738,0.1673,0.0394,0.0439,0.3187,0.0049
여수·석화,점,0-1km,3.1,3.1,0.0,0.6092,0.0,0.0452,0.1734,0.0382,0.1339,0.0,0.0
여수·석화,점,1-2km,9.4,9.4,0.1419,0.3962,0.0004,0.0862,0.3397,0.0447,0.1329,0.1654,0.0
여수·석화,점,2-3km,15.7,15.7,0.3186,0.2701,0.017,0.3633,0.1795,0.0742,0.0959,0.4676,0.0007
여수·석화,점,3-5km,50.2,50.2,0.2804,0.1888,0.1608,0.4572,0.1462,0.022,0.025,0.3897,0.0069
여수·석화,점,5-10km,235.2,235.2,0.2029,0.1775,0.1167,0.4569,0.1397,0.0504,0.0589,0.2546,0.012
울산미포,폴리곤,0-1km,78.0,70.8,0.3524,0.4075,0.0349,0.2723,0.1927,0.0107,0.082,0.5443,0.0359
울산미포,폴리곤,1-2km,56.5,44.4,0.2968,0.3471,0.0663,0.4114,0.1181,0.0052,0.0518,0.422,0.0284
울산미포,폴리곤,2-3km,56.6,36.7,0.2216,0.3246,0.0723,0.4523,0.1097,0.004,0.0371,0.2847,0.0341
울산미포,폴리곤,3-5km,128.9,59.7,0.1637,0.3333,0.0794,0.3812,0.1477,0.0082,0.0502,0.1957,0.0282
울산미포,폴리곤,5-10km,427.0,175.2,0.0749,0.1236,0.111,0.5891,0.1022,0.0127,0.0614,0.0809,0.0117
온산,폴리곤,0-1km,26.2,26.2,0.3623,0.3094,0.098,0.3512,0.1512,0.0031,0.0872,0.5682,0.0062
온산,폴리곤,1-2km,28.5,25.1,0.3085,0.3191,0.1424,0.3213,0.1283,0.0165,0.0724,0.446,0.0202
온산,폴리곤,2-3km,34.5,29.0,0.2655,0.1996,0.1121,0.3718,0.1899,0.0226,0.104,0.3614,0.0032
온산,폴리곤,3-5km,87.6,66.5,0.2052,0.2668,0.117,0.3742,0.1693,0.007,0.0657,0.2582,0.0095
온산,폴리곤,5-10km,328.3,210.0,0.1465,0.2492,0.0966,0.4685,0.1117,0.0067,0.0673,0.1716,0.0204
포항·제철,점,0-1km,3.1,3.1,0.1837,0.9698,0.0,0.0,0.003,0.0,0.0273,0.225,0.0
포항·제철,점,1-2km,9.4,9.3,0.3021,0.7616,0.0182,0.0952,0.0601,0.0029,0.062,0.4329,0.0147
포항·제철,점,2-3km,15.7,13.2,0.1896,0.5749,0.0451,0.2389,0.0633,0.004,0.0738,0.234,0.0069
포항·제철,점,3-5km,50.2,46.3,0.3556,0.5631,0.0511,0.206,0.1093,0.0056,0.0648,0.5519,0.0643
포항·제철,점,5-10km,235.2,204.3,0.115,0.1692,0.101,0.5364,0.1166,0.0057,0.0711,0.1299,0.0133
구미·전자,폴리곤,0-1km,19.3,18.2,0.1271,0.3695,0.0655,0.3463,0.1533,0.0085,0.0568,0.1456,0.039
구미·전자,폴리곤,1-2km,23.5,21.0,0.0853,0.3878,0.0521,0.3577,0.1356,0.0065,0.0604,0.0932,0.0201
구미·전자,폴리곤,2-3km,29.6,27.2,0.0653,0.301,0.0732,0.4217,0.1401,0.0115,0.0525,0.0698,0.0087
구미·전자,폴리곤,3-5km,77.9,66.2,0.0325,0.1929,0.2474,0.3573,0.1439,0.0144,0.0441,0.0336,0.015
구미·전자,폴리곤,5-10km,304.4,188.7,0.0214,0.1204,0.1688,0.5429,0.0964,0.0114,0.06,0.0218,0.0112
당진1철강,폴리곤,0-1km,9.6,9.4,0.3389,0.5496,0.2074,0.0417,0.098,0.0345,0.0689,0.5125,0.0044
당진1철강,폴리곤,1-2km,15.6,12.0,0.2486,0.4269,0.3324,0.0345,0.1044,0.0159,0.0859,0.3308,0.0026
당진1철강,폴리곤,2-3km,21.8,16.1,0.2799,0.2818,0.3536,0.0826,0.1669,0.0237,0.0914,0.3887,0.0058
당진1철강,폴리곤,3-5km,62.4,44.3,0.3049,0.1512,0.3858,0.1796,0.1725,0.0591,0.0517,0.4387,0.0078
당진1철강,폴리곤,5-10km,265.8,150.9,0.2203,0.135,0.4441,0.1395,0.151,0.0795,0.051,0.2825,0.0078
동해북평,폴리곤,0-1km,7.7,7.7,0.1214,0.3587,0.128,0.2548,0.1247,0.0068,0.127,0.1382,0.0149
동해북평,폴리곤,1-2km,13.6,13.6,0.3741,0.2702,0.2262,0.2984,0.1269,0.0113,0.067,0.5978,0.0187
동해북평,폴리곤,2-3km,19.9,15.4,0.2376,0.233,0.1276,0.3994,0.1642,0.0102,0.0655,0.3116,0.021
동해북평,폴리곤,3-5km,58.5,24.7,0.1828,0.1542,0.0653,0.6051,0.1368,0.0104,0.0282,0.2237,0.0135
동해북평,폴리곤,5-10km,256.1,83.3,0.1086,0.0864,0.0379,0.6713,0.1358,0.0099,0.0587,0.1218,0.0098
동해 북평2,폴리곤,0-1km,5.7,5.7,0.0191,0.2647,0.1168,0.4066,0.1189,0.0085,0.0846,0.0194,0.006
동해 북평2,폴리곤,1-2km,11.9,11.8,0.2611,0.1524,0.1656,0.5044,0.1171,0.0037,0.0569,0.3534,0.0126
동해 북평2,폴리곤,2-3km,18.1,11.3,0.3827,0.3513,0.1368,0.2574,0.1789,0.0076,0.068,0.6199,0.019
동해 북평2,폴리곤,3-5km,55.1,19.2,0.2105,0.2252,0.1368,0.412,0.1547,0.0167,0.0545,0.2666,0.024
동해 북평2,폴리곤,5-10km,247.6,73.5,0.1432,0.1243,0.0437,0.6394,0.1241,0.0114,0.0571,0.1671,0.0133
현대제철 인천,점,0-1km,3.1,3.1,0.0545,0.8534,0.0004,0.0,0.1033,0.014,0.0288,0.0577,0.0375
현대제철 인천,점,1-2km,9.4,9.4,0.1014,0.8321,0.0008,0.0016,0.0907,0.0244,0.0503,0.1128,0.062
현대제철 인천,점,2-3km,15.7,14.9,0.0565,0.8022,0.001,0.0047,0.0807,0.0222,0.0893,0.0599,0.0605
현대제철 인천,점,3-5km,50.2,42.9,0.1201,0.6458,0.01,0.1018,0.1325,0.0183,0.0916,0.1365,0.0805
현대제철 인천,점,5-10km,235.2,132.1,0.0902,0.4631,0.0465,0.1819,0.1739,0.032,0.1026,0.0991,0.0557
동국제강 인천,점,0-1km,3.1,3.1,0.0201,0.8522,0.0006,0.0,0.1024,0.0045,0.0403,0.0205,0.055
동국제강 인천,점,1-2km,9.4,9.4,0.066,0.8275,0.0011,0.0026,0.099,0.0223,0.0475,0.0707,0.0671
동국제강 인천,점,2-3km,15.7,14.7,0.0812,0.8347,0.0009,0.0092,0.0606,0.0233,0.0711,0.0884,0.0655
동국제강 인천,점,3-5km,50.2,42.7,0.1168,0.6506,0.0092,0.0956,0.1272,0.018,0.0995,0.1322,0.0805
동국제강 인천,점,5-10km,235.2,128.7,0.089,0.4651,0.0459,0.1841,0.1729,0.0311,0.1009,0.0977,0.0557
심팩 포항,점,0-1km,3.1,3.1,0.0036,0.6928,0.0009,0.1003,0.0861,0.0044,0.1156,0.0036,0.0
심팩 포항,점,1-2km,9.4,9.4,0.0742,0.5638,0.059,0.1384,0.1244,0.0103,0.104,0.0802,0.0093
심팩 포항,점,2-3km,15.7,15.7,0.0794,0.5719,0.132,0.1104,0.1068,0.0105,0.0684,0.0862,0.036
심팩 포항,점,3-5km,50.2,49.9,0.111,0.4709,0.115,0.2494,0.1082,0.0051,0.0513,0.1248,0.0457
심팩 포항,점,5-10km,235.2,202.9,0.1537,0.132,0.0784,0.6173,0.107,0.0068,0.0585,0.1816,0.0099
