지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2)
90,속초,2023-05-01,14.2,9.5,2140,17.9,952,0,2.2,42.5,13.8,10.2,,,
90,속초,2023-05-02,16.3,10,37,21.7,1335,,1.6,47,13.8,8.2,,,
90,속초,2023-05-03,19.5,13.8,326,23.7,1022,,1.9,41.5,13.8,12.8,,,
90,속초,2023-05-04,17.7,14.6,2303,22.6,1020,,1.4,67.1,13.9,6.8,,,
90,속초,2023-05-05,12.8,10.9,2240,15.4,235,9.8,2.7,91.3,13.9,0,,,
90,속초,2023-05-06,9.1,6.9,2252,11,1,48.4,2.7,89.6,14,0,,,
90,속초,2023-05-07,9.6,6,150,14.2,1715,,1.7,72.3,14,.8,,,
90,속초,2023-05-08,13.6,5.5,509,18.3,1632,,1.6,53.3,14,13.3,,,
90,속초,2023-05-09,22.9,15.7,540,28.9,1458,,2.5,27,14.1,12.9,,,
90,속초,2023-05-10,15.7,10.7,447,21.1,1700,,1.9,67.8,14.1,12.7,,,
90,속초,2023-05-11,13.8,11.8,2320,18.3,1110,,1.4,85.4,14.1,3.8,,,
90,속초,2023-05-12,14.5,9.9,520,19.9,1530,,1.6,79.5,14.2,6.1,,,
90,속초,2023-05-13,13,9.7,441,16.6,9,,1.5,87.1,14.2,6.7,,,
90,속초,2023-05-14,14.3,12.6,714,17,1402,.1,1.5,90.1,14.2,7.3,,,
90,속초,2023-05-15,16.3,11.7,611,23.2,2233,,2.1,77.4,14.2,9.4,,,
90,속초,2023-05-16,27.5,17.8,304,34.4,1417,,2.2,35.8,14.3,11.8,,,
90,속초,2023-05-17,25.4,20.3,531,31.6,1620,,1.8,35,14.3,8.8,,,
90,속초,2023-05-18,19.8,14.8,2243,26.5,1222,3.2,2.3,71,14.3,3.1,,,
90,속초,2023-05-19,14.5,11.5,2355,17.2,1235,,2.5,80.8,14.4,1.6,,,
90,속초,2023-05-20,17.8,10.4,515,24.6,2133,,2.6,65.9,14.4,11,,,
90,속초,2023-05-21,22.5,20,643,27.3,1422,,1.9,41.5,14.4,7.3,,,
90,속초,2023-05-22,17.9,12.4,2347,21.1,1544,,1.9,49.9,14.4,9.3,,,
90,속초,2023-05-23,16.9,10.7,136,22.9,950,,1.2,58.3,14.5,12.2,,,
90,속초,2023-05-24,18.1,10.6,430,25.5,1205,,2,53.5,14.5,11.4,,,
90,속초,2023-05-25,18.4,15,439,24.2,1218,0,1.9,62.6,14.5,9.2,,,
90,속초,2023-05-26,19.2,15.2,443,23.9,1255,0,2.5,62.4,14.5,10.7,,,
90,속초,2023-05-27,18.7,16.1,2326,24.8,819,6.9,.9,77.3,14.5,2.8,,,
90,속초,2023-05-28,15.6,14.6,907,17.1,2140,9.6,1.2,98.4,14.6,0,,,
90,속초,2023-05-29,17.3,15.2,611,21.5,1130,3,1.1,93.8,14.6,7,,,
90,속초,2023-05-30,17.1,14.3,2341,21.6,1423,0,1.8,88.9,14.6,4.9,,,
90,속초,2023-05-31,17.4,12.1,457,21.3,1336,,1.7,81,14.6,10.5,,,
