SN,IOEP_BGNG_DT,IOEP_END_DT,IOEP_LAK,LAK_0,PWRTRNSMSSN_LAK,NDMS,IOEP_RGN_ZIP,CRT_DT,MDFCN_DT
6993,2020/06/26 09:00:00,2020/06/26 16:12:00,1000,1000,0,0,,2020/06/26 16:15:37,2020/06/26 16:15:03
7002,2020/06/29 15:00:00,2020/06/29 16:17:00,600,600,0,0,,2020/06/29 16:18:42,2020/06/29 16:18:23
7005,2020/06/30 10:00:00,2020/06/30 12:59:00,110,110,0,0,,2020/06/30 13:01:24,2020/06/30 13:01:20
7011,2020/06/30 15:20:00,2020/06/30 15:38:00,1000,1000,0,0,,2020/06/30 15:42:23,2020/06/30 15:40:16
7036,2020/06/30 18:00:00,2020/06/30 16:04:00,120,120,0,0,,2020/06/30 16:06:23,2020/06/30 16:06:16
7046,2020/06/30 09:00:00,2020/06/30 17:56:00,1000,0,1000,100,,2020/06/30 17:58:23,2020/06/30 17:58:18
7047,2020/06/30 11:00:00,2020/06/30 17:59:00,1000,300,700,70,,2020/06/30 18:01:23,2020/06/30 17:59:46
7064,2020/07/01 04:00:00,2020/07/01 15:10:00,1100,1100,0,0,,2020/07/01 14:54:26,2020/07/01 14:52:50
7065,2020/07/01 00:00:00,2020/07/01 14:55:00,1000,1000,0,0,,2020/07/01 14:57:26,2020/07/01 14:56:09
7069,2020/07/01 17:00:00,2020/07/01 19:14:00,1000,0,1000,100,,2020/07/01 15:16:25,2020/07/01 15:14:49
7071,2020/07/01 11:00:00,2020/07/01 15:40:00,2000,1000,1000,50,,2020/07/01 15:43:25,2020/07/01 15:42:50
7077,2020/07/01 17:00:00,2020/07/01 15:46:00,20,20,0,0,,2020/07/01 15:49:25,2020/07/01 15:47:30
7079,2020/07/01 17:00:00,2020/07/01 15:49:00,200,200,0,0,,2020/07/01 15:52:25,2020/07/01 15:51:54
7081,2020/07/01 15:40:00,2020/07/01 15:51:00,1000,1000,0,0,,2020/07/01 15:55:25,2020/07/01 15:52:52
7086,2020/07/01 15:00:00,2020/07/01 15:53:00,1000,1000,0,0,,2020/07/01 15:55:25,2020/07/01 15:55:13
7090,2020/07/01 15:00:00,2020/07/01 15:54:00,10100,10100,0,0,,2020/07/01 15:55:25,2020/07/01 15:55:16
7099,2020/07/01 17:00:00,2020/07/01 16:07:00,1000,1000,0,0,,2020/07/01 16:09:25,2020/07/01 16:09:15
7100,2020/07/01 13:00:00,2020/07/01 16:11:00,330,330,0,0,,2020/07/01 16:13:25,2020/07/01 16:13:17
7111,2020/07/02 11:02:00,2020/07/02 11:02:00,1000,1000,0,0,,2020/07/02 11:06:26,2020/07/02 11:05:04
7134,2020/07/02 14:35:00,2020/07/02 14:42:00,1000,1000,0,0,,2020/07/02 14:46:27,2020/07/02 14:44:44
7139,2020/07/02 11:00:00,2020/07/02 15:03:00,1000,1000,0,0,,2020/07/02 14:49:26,2020/07/02 14:48:28
7143,2020/07/02 14:00:00,2020/07/02 14:53:00,200,200,0,0,,2020/07/02 14:55:27,2020/07/02 14:54:39
7149,2020/07/02 14:50:00,2020/07/02 14:59:00,1000,1000,0,0,,2020/07/02 15:01:27,2020/07/02 15:00:18
7150,2020/07/02 15:00:00,2020/07/02 15:05:00,6000,6000,0,0,,2020/07/02 15:01:27,2020/07/02 15:00:39
7151,2020/07/02 00:00:00,2020/07/02 15:27:00,1050,50,1000,95.24,,2020/07/02 15:01:27,2020/07/02 15:01:12
7162,2020/07/01 00:00:00,2020/07/02 15:35:00,1100,350,750,68.18,,2020/07/02 15:10:26,2020/07/02 15:08:55
7168,2020/07/02 00:00:00,2020/07/02 15:30:00,1000,990,10,1,,2020/07/02 15:30:27,2020/07/02 15:30:07
7170,2020/07/02 08:01:00,2020/07/02 15:32:00,2000,2000,0,0,,2020/07/02 15:34:27,2020/07/02 15:34:15
7172,2020/07/02 00:00:00,2020/07/02 15:35:00,110,35,75,68.18,,2020/07/02 15:37:27,2020/07/02 15:36:34
7173,2020/07/02 00:00:00,2020/07/02 15:39:00,0,0,0,0,,2020/07/02 15:40:27,2020/07/02 15:40:08
7174,2020/07/02 02:00:00,2020/07/02 15:43:00,1000,990,10,1,,2020/07/02 15:43:27,2020/07/02 15:43:17
7180,2020/07/02 14:00:00,2020/07/02 15:55:00,1100,100,1000,90.91,,2020/07/02 16:00:27,2020/07/02 15:58:57
7181,2020/07/02 14:00:00,2020/07/02 15:55:00,1000,1000,0,0,,2020/07/02 16:00:27,2020/07/02 15:58:56
7182,2020/07/02 15:00:00,2020/07/02 15:57:00,1000,1000,0,0,,2020/07/02 16:00:27,2020/07/02 15:59:26
7186,2020/07/02 15:18:00,2020/07/02 15:59:00,1500,1500,0,0,,2020/07/02 16:03:27,2020/07/02 16:01:12
7190,2020/07/02 16:00:00,2020/07/06 10:05:00,1001,1001,0,0,,2020/07/02 16:09:27,2020/07/02 16:08:13
7194,2020/07/02 16:00:00,2020/07/02 16:18:00,1000,0,1000,100,,2020/07/02 16:21:27,2020/07/02 16:20:10
7211,2020/07/02 17:00:00,2020/07/02 17:45:00,120,120,0,0,,2020/07/02 17:48:26,2020/07/02 17:46:29
7212,2020/07/02 04:00:00,2020/07/02 18:31:00,8,8,0,0,,2020/07/02 18:33:27,2020/07/02 18:32:51
7213,2020/07/02 19:00:00,2020/07/02 18:58:00,200,200,0,0,,2020/07/02 19:00:27,2020/07/02 18:59:50
7214,2020/07/02 23:00:00,2020/07/02 20:07:00,200,200,0,0,,2020/07/02 20:09:27,2020/07/02 20:09:07
7217,2020/07/03 10:00:00,2020/07/03 10:46:00,1000,1000,0,0,,2020/07/03 10:50:28,2020/07/03 10:49:56
7218,2020/07/03 10:35:00,2020/07/03 10:46:00,255,255,0,0,,2020/07/03 10:50:28,2020/07/03 10:49:14
7225,2020/07/01 00:00:00,2020/07/03 13:54:00,0,0,0,0,,2020/07/03 14:07:28,2020/07/03 14:06:58
7227,2020/07/03 00:00:00,2020/07/03 13:59:00,0,0,0,0,,2020/07/03 14:13:28,2020/07/03 14:12:38
7230,2020/07/01 00:00:00,2020/07/03 14:30:00,10,8,2,20,,2020/07/03 14:35:28,2020/07/03 14:32:31
7248,2020/07/03 15:00:00,2020/07/03 14:37:00,1700,1700,0,0,,2020/07/03 14:38:29,2020/07/03 14:38:08
7259,2020/07/03 14:52:00,2020/07/03 14:51:00,1200,1200,0,0,,2020/07/03 15:26:28,2020/07/03 14:54:54
7260,2020/07/03 14:57:00,2020/07/03 15:07:00,1200,0,1200,100,,2020/07/03 15:26:28,2020/07/03 15:07:55
7261,2020/07/03 14:00:00,2020/07/03 15:07:00,1000,0,1000,100,,2020/07/03 15:26:28,2020/07/03 15:07:18
7262,2020/07/03 14:00:00,2020/07/03 15:03:00,1110,0,1110,100,,2020/07/03 15:26:28,2020/07/03 15:03:18
7263,2020/07/03 14:00:00,2020/07/03 15:21:00,10700,10700,0,0,,2020/07/03 15:26:28,2020/07/03 15:24:54
7264,2020/07/03 11:00:00,2020/07/03 15:57:00,1000,700,300,30,,2020/07/03 16:12:29,2020/07/03 15:57:43
7272,2020/07/03 17:00:00,2020/07/03 16:59:00,1100,1100,0,0,,2020/07/03 17:02:29,2020/07/03 17:02:01
7282,2020/07/06 09:00:00,2020/07/06 10:18:00,1000,300,700,70,,2020/07/06 10:19:32,2020/07/06 10:18:16
7319,2020/07/06 10:29:00,2020/07/06 10:33:00,2930,2930,0,0,,2020/07/06 10:36:32,2020/07/06 10:34:48
7327,2020/07/06 10:00:00,2020/07/06 10:47:00,0,0,0,0,,2020/07/06 10:51:32,2020/07/06 10:51:03
7368,2020/07/06 15:40:00,2020/07/06 16:25:00,300,300,0,0,,2020/07/06 16:36:32,2020/07/06 16:36:12
7370,2020/07/06 15:57:00,2020/07/06 16:41:00,20,4,16,80,,2020/07/06 16:42:32,2020/07/06 16:41:38
