"행정구역(동읍면)별","5세별","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년","2025 년",
"전국","0 - 4세","남자인구수[명]","명","860253","785425","731554","683649","650872","642614",
"전국","0 - 4세","여자인구수[명]","명","816770","745044","696036","650939","620904","611887",
"전국","5 - 9세","남자인구수[명]","명","1175459","1142373","1078825","1024361","958188","874056",
"전국","5 - 9세","여자인구수[명]","명","1117588","1087508","1026227","973943","910154","830666",
"전국","10 - 14세","남자인구수[명]","명","1204016","1215920","1212181","1197204","1192516","1176470",
"전국","10 - 14세","여자인구수[명]","명","1133573","1148276","1145771","1133765","1131787","1119487",
"전국","15 - 19세","남자인구수[명]","명","1274757","1215429","1211418","1196135","1181242","1199373",
"전국","15 - 19세","여자인구수[명]","명","1180990","1129691","1133826","1124356","1113720","1133013",
"전국","20 - 24세","남자인구수[명]","명","1695036","1624175","1532372","1452989","1374627","1266398",
"전국","20 - 24세","여자인구수[명]","명","1554640","1497147","1409469","1341451","1273187","1178273",
"전국","25 - 29세","남자인구수[명]","명","1878631","1867507","1829217","1783849","1725897","1684130",
"전국","25 - 29세","여자인구수[명]","명","1677846","1667094","1646123","1619197","1581945","1553441",
"전국","30 - 34세","남자인구수[명]","명","1636675","1675607","1737578","1785954","1834878","1866995",
"전국","30 - 34세","여자인구수[명]","명","1509323","1540454","1579679","1613298","1644334","1676560",
"전국","35 - 39세","남자인구수[명]","명","1904873","1797104","1691286","1635037","1623100","1625814",
"전국","35 - 39세","여자인구수[명]","명","1822246","1710270","1606968","1541259","1522251","1507088",
"전국","40 - 44세","남자인구수[명]","명","1996771","2030491","2052382","2059426","1979705","1887668",
"전국","40 - 44세","여자인구수[명]","명","1929545","1962340","1973867","1989833","1903094","1811212",
"전국","45 - 49세","남자인구수[명]","명","2218200","2119757","2046616","1968824","1946415","1972083",
"전국","45 - 49세","여자인구수[명]","명","2150271","2054204","2000252","1904051","1893609","1911249",
"전국","50 - 54세","남자인구수[명]","명","2233682","2278787","2300193","2279677","2248330","2177711",
"전국","50 - 54세","여자인구수[명]","명","2185046","2248035","2241879","2223983","2184789","2124339",
"전국","55 - 59세","남자인구수[명]","명","2128862","2087512","2053128","2105873","2142941","2177060",
"전국","55 - 59세","여자인구수[명]","명","2097424","2020877","2016864","2086166","2130310","2154962",
"전국","60 - 64세","남자인구수[명]","명","1953296","2046089","2091002","2095791","2087725","2052144",
"전국","60 - 64세","여자인구수[명]","명","1997173","2090660","2127035","2123908","2103919","2061863",
"전국","65 - 69세","남자인구수[명]","명","1345308","1462656","1544617","1660036","1762834","1854897",
"전국","65 - 69세","여자인구수[명]","명","1448729","1565307","1640885","1750973","1864305","1953374",
"전국","70 - 74세","남자인구수[명]","명","971198","986553","1035925","1062361","1130609","1241459",
"전국","70 - 74세","여자인구수[명]","명","1108936","1123159","1172331","1203628","1269314","1397358",
"전국","75 - 79세","남자인구수[명]","명","693142","696848","710630","756369","801193","847927",
"전국","75 - 79세","여자인구수[명]","명","924970","908524","906831","943845","985481","1037530",
"전국","80 - 84세","남자인구수[명]","명","430519","457975","503828","519060","527989","535117",
"전국","80 - 84세","여자인구수[명]","명","713416","743850","799521","812217","812035","803960",
"전국","85 - 89세","남자인구수[명]","명","177942","196253","210419","229165","250181","264896",
"전국","85 - 89세","여자인구수[명]","명","407545","437403","456825","484582","514339","530532",
"전국","90 - 94세","남자인구수[명]","명","46761","49809","53694","59066","66571","76346",
"전국","90 - 94세","여자인구수[명]","명","156943","167438","175612","187363","203671","223549",
"전국","95 - 99세","남자인구수[명]","명","10297","9042","8825","9487","10986","12066",
"전국","95 - 99세","여자인구수[명]","명","38459","38255","39614","43722","48697","53085",
"전국","100+","남자인구수[명]","명","5351","1372","1261","1423","1525","1441",
"전국","100+","여자인구수[명]","명","16561","6589","6472","7114","7052","7285",
"서울특별시","0 - 4세","남자인구수[명]","명","139213","126059","117525","109615","103916","103725",
"서울특별시","0 - 4세","여자인구수[명]","명","131268","118479","110094","103399","98981","98902",
"서울특별시","5 - 9세","남자인구수[명]","명","181062","173705","162492","153833","144197","132743",
"서울특별시","5 - 9세","여자인구수[명]","명","172202","165440","155206","146715","136686","125292",
"서울특별시","10 - 14세","남자인구수[명]","명","191013","188872","186162","182333","180789","177722",
"서울특별시","10 - 14세","여자인구수[명]","명","180639","179007","176340","172681","171247","169094",
"서울특별시","15 - 19세","남자인구수[명]","명","210272","198819","197487","193013","187935","188947",
