구분,기준일,제어지역,연도별 시행회차,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
태양광,2024-03-10,전남,1,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
태양광,2024-04-07,"전남, 광주",2,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
태양광,2024-05-10,전남,3,0,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0
태양광,2024-05-12,전남,4,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
태양광,2024-05-13,전남,5,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
태양광,2024-05-14,전남,6,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
태양광,2024-05-15,전남,7,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0,0
태양광,2024-05-16,전남,8,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
태양광,2024-05-17,전남,9,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
태양광,2024-05-18,전남,10,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
태양광,2024-05-19,전남,11,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0
태양광,2024-05-20,전남,12,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
태양광,2024-05-21,전남,13,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
태양광,2024-05-23,전남,14,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
태양광,2024-05-24,전남,15,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0,0
태양광,2024-05-25,전남,16,0,0,0,0,0,0,0,0,0,0,0,0,출력제어,0,0,0,0,0,0,0,0,0,0,0
태양광,2024-05-27,전남,17,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
태양광,2024-05-28,전남,18,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
태양광,2024-05-29,전남,19,0,0,0,0,0,0,0,0,0,0,0,출력제어,출력제어,출력제어,0,0,0,0,0,0,0,0,0,0
